control_regret_gap_m,deceptive_proxy_rank_fraction,deceptive_regret_m,has_deceptive,pool_physical_best_m,pool_success_available,snapshot
0.0003559134268553005,0.01669449081803005,0.058993245758539065,1,0.0036338552861115724,1,0
0.0005001712107985112,0.01669449081803005,0.19135792253880723,1,0.008049135341492205,1,1
0.0009241373430819988,0.048414023372287146,0.05253751094973892,1,0.015289152175502932,1,10
0.00028030504978493465,0.07178631051752922,0.2566453450969559,1,0.037979273933914724,1,11
1.876436295494832e-05,0.02671118530884808,0.349501801379147,1,0.09910999036094875,0,12
0.0002172470604136223,0.05676126878130217,0.031942791478968446,1,0.005812406267583873,1,13
0.00020011945548975563,0.06844741235392321,0.22582044944171772,1,0.021698035698258535,1,14
,,,0,0.03042654295845167,1,15
0.0006471679831235866,0.06844741235392321,0.2420927745105403,1,0.04909064178965687,0,16
7.01585764731616e-05,0.0,0.14910139459043642,1,0.028419020539056573,1,17
5.065481323326959e-05,0.015025041736227046,0.21532933854317074,1,0.018550743610360413,1,18
9.7155855208364e-05,0.09181969949916527,0.25436830569655655,1,0.02622748020052602,1,19
0.00022526637181902176,0.05843071786310518,0.054646732588245595,1,0.21772018401049176,0,2
0.001959213679406019,0.07846410684474124,0.08999337027322958,1,0.0168060980766503,1,20
2.38138479661254e-05,0.00333889816360601,0.034033363463472244,1,0.002808020706168439,1,21
,,,0,0.009229809625173844,1,22
0.0006775744584562454,0.05008347245409015,0.06916185883007556,1,0.0023600025704986877,1,23
1.1984540128379129e-05,0.03672787979966611,0.027520618188424217,1,0.012465123977846215,1,24
7.694518159623298e-05,0.07011686143572621,0.07483831654895458,1,0.004841972268118042,1,25
,,,0,1.9648904290461352e-15,1,26
1.2917352733288201e-05,0.0333889816360601,0.05478934302261396,1,0.25098575500496795,0,27
6.57671010942662e-05,0.07011686143572621,0.09906914194292013,1,0.021258137689552,1,28
6.056729440900854e-06,0.09849749582637729,0.2115244246821594,1,0.019216753832184623,1,29
2.417135505083934e-07,0.008347245409015025,0.16533911471139723,1,0.015217817055122932,1,3
0.12341677113279542,0.07178631051752922,0.4157126955413661,1,0.03653566092834341,1,30
4.1022151675527974e-05,0.05509181969949917,0.03523044556227105,1,0.004519759506234401,1,31
1.6369311621300398e-05,0.06010016694490818,0.2547037458511902,1,0.010809668588516383,1,4
0.0,0.0,0.0697738263508145,1,0.07543820560785103,0,5
0.004345721718234219,0.06010016694490818,0.28647672272497404,1,0.009516445664736342,1,6
,,,0,0.0007737591168389871,1,7
3.921951805578583e-05,0.09015025041736227,0.08516216705825304,1,0.012404631850765421,1,8
8.252526759829071e-05,0.01001669449081803,0.0454830672803154,1,0.004721760327850936,1,9
