snapshot,selector,selected_candidate,selected_physical_distance_m,selected_success,selection_regret_m,success_gap,spearman_physical,top10pct_recall_physical,false_elite_rate_physical
0,learned_predicted_goal,0,0.03341625437979241,1.0,0.024196794974571806,0.0,-0.15647151635018164,0.03333333333333333,0.6
0,true_dataset_goal,9,0.03234118651267398,1.0,0.023121727107453374,0.0,0.06963899598884431,0.1,0.6
0,true_rendered_goal,9,0.03234118651267398,1.0,0.023121727107453374,0.0,0.06987588750986122,0.1,0.6
1,learned_predicted_goal,286,0.043890679420164065,0.0,0.035841544078671864,1.0,0.0018169090767675194,0.1,0.4666666666666667
1,true_dataset_goal,5,0.10842052103507892,0.0,0.10037138569358671,1.0,0.5246356070623006,0.2,0.3333333333333333
1,true_rendered_goal,5,0.10842052103507892,0.0,0.10037138569358671,1.0,0.5247040522672474,0.23333333333333334,0.3333333333333333
2,learned_predicted_goal,0,0.2600585922382583,0.0,0.014847711608378722,0.0,0.023974488605428945,0.06666666666666667,0.5
2,true_dataset_goal,14,0.2777611508071479,0.0,0.03255027017726836,0.0,-0.006970299669996333,0.23333333333333334,0.6
2,true_rendered_goal,97,0.26768352745375634,0.0,0.022472646823876785,0.0,-0.006705407837864864,0.23333333333333334,0.6
3,learned_predicted_goal,101,0.17859902408657233,0.0,0.1633812070314494,1.0,0.0870089667662974,0.16666666666666666,0.6
3,true_dataset_goal,229,0.03570173237180031,1.0,0.02048391531667738,0.0,0.8568246313847931,0.3,0.0
3,true_rendered_goal,229,0.03570173237180031,1.0,0.02048391531667738,0.0,0.8568664096267735,0.26666666666666666,0.0
4,learned_predicted_goal,0,0.2623071812579657,0.0,0.2514975126694493,1.0,0.01707521090308524,0.2,0.43333333333333335
4,true_dataset_goal,147,0.02979270494320357,1.0,0.018983036354687188,0.0,0.19834403640946627,0.7,0.0
4,true_rendered_goal,147,0.02979270494320357,1.0,0.018983036354687188,0.0,0.20398262944876036,0.7333333333333333,0.0
5,learned_predicted_goal,0,0.14521203195866553,0.0,0.0,0.0,nan,0.13333333333333333,0.0
5,true_dataset_goal,184,0.14521203195866553,0.0,0.0,0.0,nan,0.03333333333333333,0.0
5,true_rendered_goal,184,0.14521203195866553,0.0,0.0,0.0,nan,0.03333333333333333,0.0
6,learned_predicted_goal,246,0.27594709406616397,0.0,0.182787967584365,0.0,-0.19859553995044388,0.03333333333333333,0.5333333333333333
6,true_dataset_goal,17,0.20108707787398833,0.0,0.10792795139218937,0.0,0.29649040544894945,0.4666666666666667,0.16666666666666666
6,true_rendered_goal,17,0.20108707787398833,0.0,0.10792795139218937,0.0,0.28941299347770527,0.4666666666666667,0.16666666666666666
7,learned_predicted_goal,0,0.0007737591168389871,1.0,0.0,0.0,nan,0.13333333333333333,0.0
7,true_dataset_goal,80,0.0007737591168389871,1.0,0.0,0.0,nan,0.13333333333333333,0.0
7,true_rendered_goal,80,0.0007737591168389871,1.0,0.0,0.0,nan,0.13333333333333333,0.0
8,learned_predicted_goal,47,0.03687136384260008,1.0,0.024466731991834655,0.0,-0.07165724063600705,0.03333333333333333,0.4666666666666667
8,true_dataset_goal,80,0.03413871056403378,1.0,0.021734078713268358,0.0,0.5292365470727453,0.2,0.3333333333333333
8,true_rendered_goal,80,0.03413871056403378,1.0,0.021734078713268358,0.0,0.5258996211069011,0.2,0.36666666666666664
9,learned_predicted_goal,234,0.023651917539540546,1.0,0.01285329280309832,0.0,-0.024164268491872132,0.13333333333333333,0.36666666666666664
9,true_dataset_goal,8,0.03481118703394016,1.0,0.02401256229749793,0.0,0.47360526228069194,0.16666666666666666,0.5666666666666667
9,true_rendered_goal,8,0.03481118703394016,1.0,0.02401256229749793,0.0,0.47785108723430253,0.16666666666666666,0.5666666666666667
10,learned_predicted_goal,54,0.03392155784637491,1.0,0.01531430894184051,0.0,0.18750430560339557,0.06666666666666667,0.5
10,true_dataset_goal,2,0.032995810876634876,1.0,0.014388561972100474,0.0,0.803088478760875,0.43333333333333335,0.1
10,true_rendered_goal,2,0.032995810876634876,1.0,0.014388561972100474,0.0,0.80331381459794,0.43333333333333335,0.1
11,learned_predicted_goal,0,0.2833602428029703,0.0,0.24538096886905555,1.0,-0.042498709489833086,0.06666666666666667,0.13333333333333333
11,true_dataset_goal,90,0.0461894453722937,0.0,0.008210171438378974,1.0,0.2541787685221329,0.26666666666666666,0.06666666666666667
11,true_rendered_goal,90,0.0461894453722937,0.0,0.008210171438378974,1.0,0.2529165366681052,0.26666666666666666,0.06666666666666667
12,learned_predicted_goal,102,0.36112340257238407,0.0,0.2620134122114353,0.0,-0.11743508261202902,0.03333333333333333,0.5666666666666667
12,true_dataset_goal,156,0.41374104068043943,0.0,0.3146310503194907,0.0,-0.8200046667185191,0.0,0.8333333333333334
12,true_rendered_goal,156,0.41374104068043943,0.0,0.3146310503194907,0.0,-0.8201180013111257,0.0,0.8333333333333334
13,learned_predicted_goal,69,0.030234193442934158,1.0,0.016368804067941476,0.0,0.12655429504772273,0.1,0.4
13,true_dataset_goal,196,0.013865389374992682,1.0,0.0,0.0,0.6238700430004778,0.4666666666666667,0.0
13,true_rendered_goal,196,0.013865389374992682,1.0,0.0,0.0,0.6160152890587672,0.4666666666666667,0.0
14,learned_predicted_goal,0,0.03778041184871361,1.0,0.016082376150455078,0.0,-0.012298639305393681,0.06666666666666667,0.4666666666666667
14,true_dataset_goal,262,0.033360828616507784,1.0,0.01166279291824925,0.0,0.9619851869583284,0.4666666666666667,0.0
14,true_rendered_goal,262,0.033360828616507784,1.0,0.01166279291824925,0.0,0.9625500486084323,0.4666666666666667,0.0
15,learned_predicted_goal,0,0.03042654295845167,1.0,0.0,0.0,nan,0.06666666666666667,0.0
15,true_dataset_goal,128,0.03042654295845167,1.0,0.0,0.0,nan,0.0,0.0
15,true_rendered_goal,128,0.03042654295845167,1.0,0.0,0.0,nan,0.0,0.0
16,learned_predicted_goal,154,0.22984948906630565,0.0,0.18075884727664876,0.0,-0.0444520494672163,0.1,0.5333333333333333
16,true_dataset_goal,288,0.04909064178965687,0.0,0.0,0.0,-0.39787242080467555,0.03333333333333333,0.7
16,true_rendered_goal,288,0.04909064178965687,0.0,0.0,0.0,-0.3991635462616251,0.03333333333333333,0.7
17,learned_predicted_goal,110,0.177520415129493,0.0,0.14910139459043642,1.0,0.05327726455596923,0.2,0.3333333333333333
17,true_dataset_goal,109,0.15145852220356457,0.0,0.123039501664508,1.0,-0.21492861031789237,0.0,0.6333333333333333
17,true_rendered_goal,109,0.15145852220356457,0.0,0.123039501664508,1.0,-0.21603840042667138,0.0,0.6333333333333333
18,learned_predicted_goal,74,0.03801501410745881,1.0,0.0194642704970984,0.0,0.02643940488227647,0.06666666666666667,0.6
18,true_dataset_goal,260,0.029039823173003812,1.0,0.010489079562643399,0.0,0.7588528761430682,0.23333333333333334,0.06666666666666667
18,true_rendered_goal,260,0.029039823173003812,1.0,0.010489079562643399,0.0,0.7597417749086101,0.23333333333333334,0.06666666666666667
19,learned_predicted_goal,0,0.26836799471511524,0.0,0.24214051451458923,1.0,-0.025977538563708148,0.06666666666666667,0.5333333333333333
19,true_dataset_goal,218,0.03379285886669801,1.0,0.007565378666171987,0.0,0.7034817449057392,0.5333333333333333,0.0
19,true_rendered_goal,218,0.03379285886669801,1.0,0.007565378666171987,0.0,0.701913590241954,0.5333333333333333,0.0
20,learned_predicted_goal,0,0.09566583028192274,0.0,0.07885973220527244,1.0,-0.028661664534793012,0.13333333333333333,0.5
20,true_dataset_goal,135,0.022566694986576985,1.0,0.005760596909926686,0.0,0.7040174686463739,0.43333333333333335,0.16666666666666666
20,true_rendered_goal,135,0.022566694986576985,1.0,0.005760596909926686,0.0,0.7023810052916861,0.43333333333333335,0.16666666666666666
21,learned_predicted_goal,1,0.029560826495035816,1.0,0.02675280578886738,0.0,0.1002366692963255,0.1,0.36666666666666664
