snapshot,selector,selected_candidate,selected_physical_distance_m,selected_success,selection_regret_m,success_gap,spearman_physical,top10pct_recall_physical,false_elite_rate_physical
12,learned_predicted_goal,102,0.36112340257238407,0.0,0.2620134122114353,0.0,-0.11743508261202902,0.03333333333333333,0.5666666666666667
12,true_dataset_goal,156,0.41374104068043943,0.0,0.3146310503194907,0.0,-0.8200046667185191,0.0,0.8333333333333334
12,true_rendered_goal,156,0.41374104068043943,0.0,0.3146310503194907,0.0,-0.8201180013111257,0.0,0.8333333333333334
