task_id,task_label,n_resets,fresh_mean_success,filtered_mean_success,filtered_ci95,paired_gain,gain_ci95,oracle_success,terminal_success
4,task_4,16,0.9166666666666666,0.9583333333333333,"[0.875, 1.0]",0.04166666666666667,"[-0.0625, 0.1875]",1.0,0.0
5,task_5,16,0.625,0.6666666666666666,"[0.4375, 0.875]",0.04166666666666668,"[-0.08333333333333331, 0.14583333333333334]",0.9375,0.0
0,pooled,32,0.7708333333333333,0.8125,"[0.6770833333333333, 0.9270833333333334]",0.04166666666666668,"[-0.04166666666666666, 0.12500000000000003]",0.96875,0.0
