snapshot,candidate,source,label,learned_proxy_cost,physical_distance_m,physical_regret_m,proxy_rank_fraction,physical_rank_fraction,success,executed_steps
30,0,cem_initial,candidate,351.7240905761719,0.29793419019750644,0.261398529269163,0.6961602671118531,0.8597662771285476,0,25
30,1,cem_initial,candidate,356.8591613769531,0.13251771828792794,0.09598205735958454,0.7479131886477463,0.13856427378964942,0,25
30,2,cem_initial,candidate,358.0646057128906,0.14239087946323187,0.10585521853488847,0.7629382303839732,0.19365609348914858,0,25
30,3,cem_initial,candidate,328.75146484375,0.1336249488200658,0.09708928789172239,0.5475792988313857,0.1419031719532554,0,25
30,4,cem_initial,candidate,365.4501953125,0.11845023527278145,0.08191457434443805,0.8313856427378965,0.09348914858096828,0,25
30,5,cem_initial,candidate,361.83477783203125,0.14491460182393578,0.10837894089559238,0.8113522537562604,0.21368948247078465,0,25
30,6,cem_initial,candidate,347.9230041503906,0.11818735111593007,0.08165169018758667,0.664440734557596,0.09181969949916527,0,25
30,7,cem_initial,candidate,368.7228698730469,0.16628435740544487,0.12974869647710147,0.8497495826377296,0.3622704507512521,0,25
30,8,cem_initial,candidate,354.9634094238281,0.16384651566447297,0.12731085473612958,0.7228714524207012,0.33889816360601,0,25
30,9,cem_initial,candidate,386.1377868652344,0.09084235069104564,0.05430668976270223,0.9649415692821369,0.045075125208681135,0,25
30,10,cem_initial,candidate,347.83807373046875,0.14264830499109654,0.10611264406275314,0.66110183639399,0.1986644407345576,0,25
30,11,cem_initial,candidate,349.9790344238281,0.15995751270092964,0.12342185177258624,0.6811352253756261,0.3088480801335559,0,25
30,12,cem_initial,candidate,358.550537109375,0.15340754780527444,0.11687188687693104,0.7729549248747913,0.2671118530884808,0,25
30,13,cem_initial,candidate,381.9046325683594,0.11310031178237569,0.07656465085403227,0.9465776293823038,0.07512520868113523,0,25
30,14,cem_initial,candidate,324.6839599609375,0.23618241000836407,0.19964674908002067,0.5342237061769616,0.679465776293823,0,25
30,15,cem_initial,candidate,355.27764892578125,0.15339180815899356,0.11685614723065016,0.7245409015025042,0.2654424040066778,0,25
30,16,cem_initial,candidate,366.933349609375,0.1682140002667176,0.1316783393383742,0.8430717863105175,0.3772954924874791,0,25
30,17,cem_initial,candidate,330.551025390625,0.18270763107925278,0.14617197015090938,0.5609348914858097,0.44741235392320533,0,25
30,18,cem_initial,candidate,339.04107666015625,0.178215362495807,0.1416797015674636,0.6076794657762938,0.4307178631051753,0,25
30,19,cem_initial,candidate,309.36407470703125,0.21046168542568106,0.17392602449733766,0.5125208681135225,0.5659432387312187,0,25
30,20,cem_initial,candidate,351.453857421875,0.056965246823921595,0.020429585895578188,0.6911519198664441,0.011686143572621035,0,25
30,21,cem_initial,candidate,328.744384765625,0.1442673732570266,0.1077317123286832,0.5459098497495827,0.21202003338898165,0,25
30,22,cem_initial,candidate,371.8443603515625,0.2141932581723516,0.1776575972440082,0.8747913188647746,0.5843071786310517,0,25
30,23,cem_initial,candidate,343.32855224609375,0.1411198146661178,0.10458415373777441,0.6327212020033389,0.18864774624373956,0,25
30,24,cem_initial,candidate,363.83673095703125,0.15869964263059358,0.12216398170225018,0.8263772954924875,0.2988313856427379,0,25
30,25,cem_initial,candidate,386.43896484375,0.1540488242593758,0.1175131633310324,0.9666110183639399,0.27212020033388984,0,25
30,26,cem_initial,candidate,362.47894287109375,0.09741813571684804,0.060882474788504636,0.8163606010016694,0.05175292153589316,0,25
30,27,cem_initial,candidate,378.0878601074219,0.11405181371702398,0.07751615278868057,0.9298831385642737,0.07846410684474124,0,25
30,28,cem_initial,candidate,348.4296569824219,0.05880372973012504,0.022268068801781636,0.667779632721202,0.01335559265442404,0,25
30,29,cem_initial,candidate,383.198486328125,0.185264295749275,0.1487286348209316,0.9532554257095158,0.4574290484140234,0,25
30,30,cem_initial,candidate,358.483642578125,0.2686681106015728,0.2321324496732294,0.7712854757929883,0.7796327212020033,0,25
30,31,cem_initial,candidate,361.3730773925781,0.188644200153491,0.1521085392251476,0.8030050083472454,0.4741235392320534,0,25
30,32,cem_initial,candidate,334.45611572265625,0.1724603341612891,0.13592467323294571,0.5792988313856428,0.39565943238731216,0,25
30,33,cem_initial,candidate,377.45257568359375,0.18362101759642555,0.14708535666808215,0.9265442404006677,0.44908180300500833,0,25
30,34,cem_initial,candidate,354.8487854003906,0.1720394525129887,0.1355037915846453,0.7212020033388982,0.39232053422370616,0,25
30,35,cem_initial,candidate,382.382080078125,0.209897008394069,0.1733613474657256,0.9499165275459098,0.5626043405676127,0,25
30,36,cem_initial,candidate,347.890380859375,0.1597268205535469,0.1231911596252035,0.662771285475793,0.3071786310517529,0,25
30,37,cem_initial,candidate,374.45806884765625,0.16950225305494665,0.13296659212660325,0.9031719532554258,0.38397328881469117,0,25
30,38,cem_initial,candidate,353.3043212890625,0.17911904755122268,0.14258338662287928,0.7061769616026711,0.4340567612687813,0,25
30,39,cem_initial,candidate,322.70037841796875,0.17175165572509796,0.13521599479675456,0.5275459098497496,0.39065108514190316,0,25
30,40,cem_initial,candidate,371.878662109375,0.30002543479841703,0.2634897738700736,0.8764607679465777,0.8731218697829716,0,25
30,41,cem_initial,candidate,348.3642578125,0.05993128679275992,0.023395625864416514,0.666110183639399,0.015025041736227046,0,25
30,42,cem_initial,candidate,387.442138671875,0.15835066546239226,0.12181500453404887,0.9732888146911519,0.29716193656093487,0,25
30,43,cem_initial,candidate,353.8276672363281,0.03730804492425176,0.0007723839959083503,0.7128547579298832,0.00333889816360601,1,14
30,44,cem_initial,candidate,393.66363525390625,0.16076020939967658,0.12422454847133318,0.993322203672788,0.32053422370617696,0,25
30,45,cem_initial,candidate,321.6166076660156,0.09732896615019965,0.06079330522185624,0.5258764607679466,0.05008347245409015,0,25
30,46,cem_initial,candidate,337.854736328125,0.16618326554876206,0.12964760462041866,0.5959933222036727,0.3606010016694491,0,25
30,47,cem_initial,candidate,366.90057373046875,0.24185772837069164,0.20532206744234824,0.8414023372287145,0.7045075125208681,0,25
30,48,cem_initial,candidate,356.84857177734375,0.11602849578716672,0.0794928348588233,0.7445742904841403,0.08681135225375626,0,25
30,49,cem_initial,candidate,304.2115173339844,0.15960872664224138,0.12307306571389798,0.5075125208681135,0.3055091819699499,0,25
30,50,cem_initial,candidate,374.1510009765625,0.13147347653936742,0.09493781561102402,0.9015025041736227,0.1318864774624374,0,25
30,51,cem_initial,candidate,316.8719482421875,0.15111948820715698,0.11458382727881358,0.5191986644407346,0.2570951585976628,0,25
30,52,cem_initial,candidate,340.6493835449219,0.19258814704439545,0.15605248611605205,0.6176961602671118,0.4958263772954925,0,25
30,53,cem_initial,candidate,361.04803466796875,0.20095692564232082,0.16442126471397742,0.7996661101836394,0.5258764607679466,0,25
30,54,cem_initial,candidate,335.6887512207031,0.20909676402552324,0.17256110309717984,0.5843071786310517,0.5575959933222037,0,25
30,55,cem_initial,matched_control,361.809814453125,0.3288315853369141,0.29229592440857066,0.8080133555926544,0.9382303839732888,0,25
30,56,cem_initial,candidate,368.213134765625,0.17654424584429682,0.14000858491595342,0.8464106844741235,0.41402337228714525,0,25
30,57,cem_initial,candidate,388.71429443359375,0.131098694205883,0.0945630332775396,0.986644407345576,0.1302170283806344,0,25
30,58,cem_initial,candidate,357.6326904296875,0.15655172984691634,0.12001606891857294,0.7545909849749582,0.2838063439065108,0,25
30,59,cem_initial,candidate,360.6396484375,0.15155988546696053,0.11502422453861713,0.7963272120200334,0.2604340567612688,0,25
30,60,cem_initial,candidate,339.6312255859375,0.16702593205675217,0.13049027112840877,0.6126878130217028,0.36894824707846413,0,25
30,61,cem_initial,candidate,356.73675537109375,0.17801038453902654,0.14147472361068314,0.7395659432387313,0.4290484140233723,0,25
30,62,cem_initial,candidate,368.496337890625,0.14424367780774613,0.10770801687940273,0.8480801335559266,0.20868113522537562,0,25
30,63,cem_initial,candidate,350.90069580078125,0.2932642463708377,0.2567285854424943,0.6861435726210351,0.8530884808013356,0,25
30,64,cem_initial,candidate,366.85418701171875,0.19340873155000074,0.15687307062165734,0.8397328881469115,0.5008347245409015,0,25
30,65,cem_initial,candidate,350.8255615234375,0.17751315445523375,0.14097749352689035,0.6844741235392321,0.42237061769616024,0,25
30,66,cem_initial,candidate,330.0030517578125,0.21995861441190342,0.18342295348356003,0.5559265442404007,0.6076794657762938,0,25
30,67,cem_initial,candidate,384.16168212890625,0.3091830843367191,0.27264742340837567,0.9582637729549248,0.8948247078464107,0,25
30,68,cem_initial,candidate,366.36871337890625,0.1503318535680268,0.11379619263968341,0.8363939899833055,0.24874791318864775,0,25
30,69,cem_initial,candidate,363.2029724121094,0.07723561941366391,0.04069995848532051,0.8213689482470785,0.03171953255425709,0,25
30,70,cem_initial,candidate,388.28033447265625,0.15505426225549127,0.11851860132714787,0.9799666110183639,0.28046744574290483,0,25
30,71,cem_initial,candidate,355.8599548339844,0.1293020457235123,0.09276638479516891,0.7278797996661102,0.12353923205342238,0,25
30,72,cem_initial,candidate,319.7262878417969,0.24211109086299917,0.20557542993465577,0.5208681135225376,0.7061769616026711,0,25
30,73,cem_initial,candidate,395.3499450683594,0.14927794173698047,0.11274228080863707,0.994991652754591,0.24040066777963273,0,25
30,74,cem_initial,candidate,329.16375732421875,0.1382448640307635,0.1017092031024201,0.5509181969949917,0.17362270450751252,0,25
30,75,cem_initial,candidate,355.88568115234375,0.12384587542509631,0.08731021449675291,0.7295492487479132,0.10684474123539232,0,25
30,76,cem_initial,candidate,356.650390625,0.15186998587661038,0.11533432494826698,0.7378964941569283,0.2621035058430718,0,25
30,77,cem_initial,candidate,369.26519775390625,0.11075293990398095,0.07421727897563754,0.8547579298831386,0.06844741235392321,0,25
30,78,cem_initial,candidate,345.0072326660156,0.19169217073427677,0.15515650980593337,0.6477462437395659,0.49081803005008345,0,25
30,79,cem_initial,candidate,335.47601318359375,0.16609892482426789,0.12956326389592449,0.5826377295492488,0.3589315525876461,0,25
30,80,cem_initial,candidate,311.3608703613281,0.15049475513220395,0.11395909420386055,0.5141903171953256,0.25041736227045075,0,25
30,81,cem_initial,candidate,376.55126953125,0.14546587025030008,0.10893020932195668,0.9165275459098498,0.22036727879799667,0,25
30,82,cem_initial,candidate,378.2142333984375,0.22876692450848896,0.19223126358014556,0.9315525876460768,0.6444073455759599,0,25
30,83,cem_initial,candidate,343.68707275390625,0.2026990971757595,0.1661634362474161,0.6360601001669449,0.5325542570951586,0,25
30,84,cem_initial,candidate,383.7296142578125,0.11659948787935855,0.08006382695101513,0.9565943238731218,0.08848080133555926,0,25
30,85,cem_initial,candidate,369.2781982421875,0.16775345332473401,0.13121779239639061,0.8564273789649416,0.3739565943238731,0,25
30,86,cem_initial,candidate,341.1240234375,0.21351741089095705,0.17698174996261365,0.6227045075125208,0.5809682804674458,0,25
30,87,cem_initial,candidate,362.44256591796875,0.12185773721739494,0.08532207628905153,0.8146911519198664,0.1018363939899833,0,25
30,88,cem_initial,candidate,372.65435791015625,0.11302425461537095,0.07648859368702754,0.8898163606010017,0.07345575959933222,0,25
30,89,cem_initial,candidate,387.6231994628906,0.16897458562945214,0.13243892470110874,0.9749582637729549,0.3823038397328882,0,25
30,90,cem_initial,candidate,341.94757080078125,0.13724004977827703,0.10070438884993363,0.6243739565943238,0.1669449081803005,0,25
30,91,cem_initial,candidate,358.2307434082031,0.1889635832757708,0.1524279223474274,0.7679465776293823,0.4791318864774624,0,25
30,92,cem_initial,candidate,336.32952880859375,0.23265185163246477,0.19611619070412137,0.5893155258764607,0.659432387312187,0,25
30,93,cem_initial,candidate,343.154541015625,0.2029721245075147,0.1664364635791713,0.6310517529215359,0.5358931552587646,0,25
30,94,cem_initial,candidate,359.7862548828125,0.16686451124581017,0.13032885031746677,0.7846410684474123,0.3672787979966611,0,25
30,95,cem_initial,candidate,369.80963134765625,0.06274296485691702,0.026207303928573615,0.8597662771285476,0.02003338898163606,0,25
30,96,cem_initial,candidate,396.8984375,0.09061116531660987,0.054075504388266464,0.998330550918197,0.04340567612687813,0,25
30,97,cem_initial,candidate,342.55511474609375,0.2092918412794507,0.1727561803511073,0.6293823038397329,0.5592654424040067,0,25
30,98,cem_initial,candidate,348.6768798828125,0.16563225586973654,0.12909659494139314,0.671118530884808,0.35225375626043404,0,25
30,99,cem_initial,candidate,356.3946228027344,0.19094907523452945,0.15441341430618605,0.7345575959933222,0.48580968280467446,0,25
30,100,cem_initial,candidate,355.6377868652344,0.18217769392653554,0.14564203299819214,0.7262103505843072,0.44407345575959933,0,25
30,101,cem_initial,candidate,348.4532470703125,0.1624315683058207,0.1258959073774773,0.669449081803005,0.330550918196995,0,25
30,102,cem_initial,candidate,330.173828125,0.23841454035538043,0.20187887942703703,0.5575959933222037,0.6894824707846411,0,25
30,103,cem_initial,candidate,361.383056640625,0.2073693695500388,0.1708337086216954,0.8046744574290484,0.5525876460767947,0,25
30,104,cem_initial,candidate,344.50927734375,0.1860876565597866,0.1495519956314432,0.6460767946577629,0.4657762938230384,0,25
30,105,cem_initial,candidate,376.8306884765625,0.06754912862085903,0.031013467692515624,0.9215358931552587,0.025041736227045076,0,25
30,106,cem_initial,candidate,358.10162353515625,0.09857691284859255,0.06204125192024914,0.7662771285475793,0.05509181969949917,0,25
30,107,cem_initial,candidate,401.33941650390625,0.11137600474547162,0.0748403438171282,1.0,0.07011686143572621,0,25
30,108,cem_initial,candidate,356.85498046875,0.1687277244449144,0.132192063516571,0.7462437395659433,0.3806343906510851,0,25
30,109,cem_initial,candidate,352.42156982421875,0.14804377796938423,0.11150811704104083,0.6978297161936561,0.2370617696160267,0,25
30,110,cem_initial,candidate,330.5948181152344,0.13667554124842585,0.10013988032008245,0.5626043405676127,0.1652754590984975,0,25
30,111,cem_initial,candidate,362.2945556640625,0.11186338335891294,0.07532772243056954,0.8130217028380634,0.07178631051752922,0,25
30,112,cem_initial,candidate,351.56524658203125,0.1408762652530654,0.104340604324722,0.6928213689482471,0.18697829716193656,0,25
30,113,cem_initial,candidate,356.78204345703125,0.17564236751542095,0.13910670658707755,0.7412353923205343,0.4090150250417362,0,25
30,114,cem_initial,candidate,345.6339111328125,0.23512161995916653,0.19858595903082313,0.6494156928213689,0.671118530884808,0,25
30,115,cem_initial,candidate,360.1995544433594,0.26624755674934963,0.22971189582100623,0.7896494156928213,0.7746243739565943,0,25
30,116,cem_initial,candidate,352.4644775390625,0.15700294589153196,0.12046728496318856,0.6994991652754591,0.2888146911519199,0,25
30,117,cem_initial,candidate,356.04351806640625,0.2304414302604406,0.1939057693320972,0.7328881469115192,0.6477462437395659,0,25
30,118,cem_initial,candidate,364.640869140625,0.09869797129044182,0.06216231036209841,0.8297161936560935,0.05676126878130217,0,25
