snapshot,arm,anchor_physical_distance_m,anchor_success,inversion_hit,best_corrective_advantage_m,best_any_advantage_m,any_success_gain,selected_success_any,best_selected_distance_m,proxy_rejected_fraction,mean_proxy_rank_fraction,mean_action_distance_from_anchor,mean_proxy_instability,mean_cem_disagreement
0,action_diverse,0.03497936312660149,1,0.0,0.0,0.009219603509510083,0.0,1.0,0.02575975961709141,1.0,0.4866220735785953,5.019680587765177,0.16882626006710705,-0.10785953177257526
0,cem_disagreement_diverse,0.03497936312660149,1,0.0,0.0,0.014559267228640455,0.0,1.0,0.020420095897961038,1.0,0.7353678929765886,4.604305474840665,0.14425273408460848,0.3486622073578596
0,proxy_instability_diverse,0.03497936312660149,1,0.0,0.0,0.0059956530643420665,0.0,1.0,0.028983710062259426,1.0,0.37834448160535117,4.597776258622646,0.28566420991766656,-0.25710702341137126
0,random_final_population,0.03497936312660149,1,0.0,0.0,0.004842842058013216,0.0,1.0,0.030136521068588277,1.0,0.39464882943143814,3.8895402611898193,0.17224086339380323,-0.07065217391304347
1,action_diverse,0.030495385187516964,1,0.0,0.0,0.003135295672196243,0.0,1.0,0.02736008951532072,1.0,0.6889632107023411,4.89281993228606,0.17556309686702776,-0.06479933110367897
1,cem_disagreement_diverse,0.030495385187516964,1,0.0,0.0,0.011789407568663163,0.0,1.0,0.0187059776188538,1.0,0.9105351170568562,4.352395294234254,0.1265257325462602,0.40468227424749165
1,proxy_instability_diverse,0.030495385187516964,1,0.0,0.0,0.0016875376161128476,0.0,1.0,0.028807847571404116,1.0,0.2073578595317726,4.596248536569016,0.40941701617223775,-0.39966555183946484
1,random_final_population,0.030495385187516964,1,0.0,0.0,0.00034166248553347753,0.0,1.0,0.030153722701983486,1.0,0.4882943143812709,3.802851846687587,0.21018253446759,0.01964882943143815
2,action_diverse,4.72934684894748e-09,1,0.0,0.0,0.0,0.0,1.0,4.72934684894748e-09,1.0,0.5618729096989967,5.929511135041298,0.1757771502750611,-0.266304347826087
2,cem_disagreement_diverse,4.72934684894748e-09,1,0.0,0.0,0.0,0.0,1.0,4.72934684894748e-09,1.0,0.8988294314381271,4.839279948480964,0.16785790607488205,0.42558528428093645
2,proxy_instability_diverse,4.72934684894748e-09,1,0.0,0.0,0.0,0.0,1.0,4.72934684894748e-09,1.0,0.42474916387959866,5.5279946750318985,0.3038509279227048,-0.35284280936454854
2,random_final_population,4.72934684894748e-09,1,0.0,0.0,0.0,0.0,1.0,4.72934684894748e-09,0.875,0.4903846153846153,4.789984607559692,0.13898139873082158,0.0426421404682274
3,action_diverse,0.39768861380373405,0,0.0,0.0,0.01770986330627805,0.0,0.0,0.379978750497456,1.0,0.7173913043478262,5.644124028353593,0.0027966055505786896,-0.01755852842809362
3,cem_disagreement_diverse,0.39768861380373405,0,0.0,0.0,0.014229492315860126,0.0,0.0,0.3834591214878739,1.0,0.774665551839465,5.262207814406563,0.0027577088006775145,0.4013377926421405
3,proxy_instability_diverse,0.39768861380373405,0,1.0,0.02723239239434544,0.02723239239434544,0.0,0.0,0.3704562214093886,1.0,0.7575250836120402,5.6887667976709935,0.004226644173978002,-0.052257525083612026
3,random_final_population,0.39768861380373405,0,1.0,0.04021968653793362,0.04021968653793362,0.0,0.0,0.35746892726580043,1.0,0.4005016722408027,4.912202803274763,0.0017239814666653228,-0.051421404682274255
4,action_diverse,0.048676482178765065,0,1.0,0.022559196030599325,0.022559196030599325,1.0,1.0,0.02611728614816574,1.0,0.5911371237458194,7.542293808643646,0.2393757344656638,-0.08612040133779261
4,cem_disagreement_diverse,0.048676482178765065,0,0.0,0.0,0.01362660564304631,1.0,1.0,0.035049876535718755,1.0,0.8766722408026756,7.308587488257409,0.1241008284360681,0.33570234113712377
4,proxy_instability_diverse,0.048676482178765065,0,1.0,0.02542574998288281,0.02542574998288281,1.0,1.0,0.023250732195882255,1.0,0.30267558528428096,7.512240508611615,0.33766753242325165,-0.36245819397993306
4,random_final_population,0.048676482178765065,0,0.0,0.0,0.0039539250102237355,0.0,0.0,0.04472255716854133,1.0,0.49498327759197325,6.673921006472966,0.18932819067107967,0.02006688963210703
5,action_diverse,0.0549374402147152,0,0.0,0.0,0.0011895866277188763,0.0,0.0,0.053747853586996325,1.0,0.5823578595317725,4.848881081904775,0.18519227268253963,-0.26714046822742477
5,cem_disagreement_diverse,0.0549374402147152,0,0.0,0.0,0.005009576191726324,0.0,0.0,0.04992786402298888,1.0,0.7897157190635451,4.195552833697331,0.17256259249567904,0.45819397993311034
5,proxy_instability_diverse,0.0549374402147152,0,0.0,0.0,0.0011895866277188763,0.0,0.0,0.053747853586996325,1.0,0.43770903010033446,4.502549337536093,0.3369726875935345,-0.26588628762541805
5,random_final_population,0.0549374402147152,0,0.0,0.0,0.006514505458478058,0.0,0.0,0.04842293475623714,1.0,0.35242474916387956,3.8740809083414725,0.2545499722183251,-0.16429765886287628
6,action_diverse,0.0973327034590388,0,1.0,0.057427516795692454,0.057427516795692454,1.0,1.0,0.039905186663346345,1.0,0.7182274247491639,8.106064933376514,0.14020409962171257,-0.14172240802675584
6,cem_disagreement_diverse,0.0973327034590388,0,1.0,0.07162508797952898,0.07162508797952898,1.0,1.0,0.025707615479509827,1.0,0.8340301003344481,6.603938563682812,0.15230277805892073,0.39255852842809363
6,proxy_instability_diverse,0.0973327034590388,0,1.0,0.066971317980103,0.066971317980103,1.0,1.0,0.03036138547893579,1.0,0.41555183946488294,6.835734577308144,0.41610406649288556,-0.26421404682274247
6,random_final_population,0.0973327034590388,0,1.0,0.0653009689939359,0.0653009689939359,1.0,1.0,0.03203173446510289,1.0,0.5664715719063546,5.338517112994992,0.20942301786917894,0.2044314381270903
7,action_diverse,0.19963352364516015,0,0.0,0.0,0.0,0.0,0.0,0.19963352364516015,1.0,0.4577759197324414,6.3242540562289555,0.26975451302622766,-0.290133779264214
7,cem_disagreement_diverse,0.19963352364516015,0,0.0,0.0,5.6743351974392064e-05,0.0,0.0,0.19957678029318576,1.0,0.8185618729096991,5.534473642307834,0.13245538496145703,0.3908862876254181
7,proxy_instability_diverse,0.19963352364516015,0,0.0,0.0,7.404110779327122e-05,0.0,0.0,0.19955948253736688,1.0,0.2153010033444816,5.802245539456573,0.416325969306733,-0.3269230769230769
7,random_final_population,0.19963352364516015,0,0.0,0.0,5.9625487971615154e-05,0.0,0.0,0.19957389815718854,1.0,0.4402173913043478,5.241520381752667,0.23382437962637526,-0.057692307692307696
8,action_diverse,0.026078814910034796,1,0.0,0.0,0.006953477141377611,0.0,1.0,0.019125337768657186,1.0,0.4941471571906354,6.093066911733531,0.1060593883659317,-0.24205685618729098
8,cem_disagreement_diverse,0.026078814910034796,1,0.0,0.0,0.0020672643849920756,0.0,1.0,0.02401155052504272,1.0,0.7842809364548495,5.2034699103995745,0.17079284125026067,0.3419732441471572
8,proxy_instability_diverse,0.026078814910034796,1,0.0,0.0,0.0028829092240711465,0.0,1.0,0.02319590568596365,1.0,0.6316889632107023,5.8619755616814135,0.2092424898518584,-0.17767558528428096
8,random_final_population,0.026078814910034796,1,0.0,0.0,0.003192932792313495,0.0,1.0,0.0228858821177213,1.0,0.5,4.731545485747998,0.09485623313081659,0.03135451505016723
9,action_diverse,3.173945923911765e-13,1,0.0,0.0,0.0,0.0,1.0,3.173945923911765e-13,1.0,0.5543478260869565,5.365513121060182,0.1890570307782635,-0.25585284280936454
9,cem_disagreement_diverse,3.173945923911765e-13,1,0.0,0.0,0.0,0.0,1.0,3.173945923911765e-13,1.0,0.7240802675585285,4.603525265028885,0.14432167725882006,0.3319397993311037
