task_id,task_label,n_resets,n_observer_seeds,mean_learned_success,learned_ci95_reset_clustered,oracle_success,terminal_success,mean_gain_over_terminal,gain_ci95_reset_clustered,mean_gap_to_oracle_q,oracle_gap_ci95_reset_clustered
4,task_4,64,3,0.9479166666666667,"[0.890625, 0.9947916666666666]",1.0,0.0,0.9479166666666667,"[0.890625, 0.9947916666666667]",-0.052083333333333336,"[-0.109375, -0.005208333333333334]"
5,task_5,64,3,0.734375,"[0.6458333333333333, 0.8177083333333333]",0.765625,0.03125,0.703125,"[0.59375, 0.8020833333333333]",-0.031250000000000014,"[-0.13020833333333337, 0.06770833333333331]"
0,pooled,128,3,0.8411458333333333,"[0.7864583333333333, 0.890625]",0.8828125,0.015625,0.8255208333333333,"[0.7604166666666666, 0.8854166666666665]",-0.04166666666666667,"[-0.09895833333333334, 0.013020833333333327]"
