snapshot,selector,selected_candidate,selected_physical_distance_m,selected_success,selection_regret_m,success_gap,spearman_physical,top10pct_recall_physical,false_elite_rate_physical
0,pred_diag,0,0.03341625437979241,1.0,0.024196794974571806,0.0,-0.16187868754097265,0.03333333333333333,0.6333333333333333
0,pred_l2,0,0.03341625437979241,1.0,0.024196794974571806,0.0,-0.15647151635018164,0.03333333333333333,0.6
0,pred_pfcg,18,0.020994362416781296,1.0,0.011774903011560688,0.0,-0.19132301470016333,0.1,0.6333333333333333
0,pred_projected,0,0.03341625437979241,1.0,0.024196794974571806,0.0,-0.15337014855720618,0.03333333333333333,0.6
0,pred_random,0,0.03341625437979241,1.0,0.024196794974571806,0.0,-0.10505938954877277,0.03333333333333333,0.6
1,pred_diag,286,0.043890679420164065,0.0,0.035841544078671864,1.0,0.005534283714263491,0.13333333333333333,0.43333333333333335
1,pred_l2,286,0.043890679420164065,0.0,0.035841544078671864,1.0,0.0018169090767675194,0.1,0.4666666666666667
1,pred_pfcg,286,0.043890679420164065,0.0,0.035841544078671864,1.0,-0.0340470449671663,0.13333333333333333,0.4
1,pred_projected,286,0.043890679420164065,0.0,0.035841544078671864,1.0,0.005686285403171146,0.1,0.4666666666666667
1,pred_random,251,0.03551461124029758,1.0,0.027465475898805377,0.0,0.013194813275703064,0.06666666666666667,0.4666666666666667
2,pred_diag,284,0.2613283975443388,0.0,0.01611751691445923,0.0,-0.020402448916099065,0.06666666666666667,0.6
2,pred_l2,0,0.2600585922382583,0.0,0.014847711608378722,0.0,0.023974488605428945,0.06666666666666667,0.5
2,pred_pfcg,80,0.252249706024298,0.0,0.007038825394418469,0.0,0.07561995133279258,0.06666666666666667,0.4
2,pred_projected,108,0.26091837374891547,0.0,0.01570749311903591,0.0,-0.21945621618017977,0.06666666666666667,0.6666666666666666
2,pred_random,153,0.26446772700641863,0.0,0.019256846376539072,0.0,-0.17322814697941086,0.06666666666666667,0.5666666666666667
3,pred_diag,101,0.17859902408657233,0.0,0.1633812070314494,1.0,0.07062167357415083,0.16666666666666666,0.6
3,pred_l2,101,0.17859902408657233,0.0,0.1633812070314494,1.0,0.0870089667662974,0.16666666666666666,0.6
3,pred_pfcg,101,0.17859902408657233,0.0,0.1633812070314494,1.0,0.07856753963932932,0.13333333333333333,0.6
3,pred_projected,0,0.033265182176816906,1.0,0.018047365121693974,0.0,0.10610829009211213,0.16666666666666666,0.6333333333333333
3,pred_random,81,0.17535102448733506,0.0,0.16013320743221213,1.0,0.06467716307958978,0.1,0.6
4,pred_diag,0,0.2623071812579657,0.0,0.2514975126694493,1.0,0.018781375600242105,0.23333333333333334,0.4
4,pred_l2,0,0.2623071812579657,0.0,0.2514975126694493,1.0,0.01707521090308524,0.2,0.43333333333333335
4,pred_pfcg,170,0.26171466191147824,0.0,0.25090499332296184,1.0,-0.005505844398058283,0.2,0.5666666666666667
4,pred_projected,170,0.26171466191147824,0.0,0.25090499332296184,1.0,0.00993502393704794,0.2,0.5666666666666667
4,pred_random,134,0.03441949659603245,1.0,0.02360982800751607,0.0,0.020783500835899662,0.2,0.4
