snapshot,iter,branch,n_candidates,n_elite,noise_hash,identical_to_other_branch,pre_mean_l2,pre_var_mean,post_mean_l2,post_var_mean,best_task_distance_m,best_shaped_cost,selected_task_distance_m,selected_shaped_cost,selection_regret_m,mean_task_distance_m,median_task_distance_m,latent_physical_spearman,latent_task_spearman,latent_top10pct_recall_physical,latent_top10pct_recall_task,n_success,success_any
3,0,latent,300,30,6c59a07e680aea68,1,0.0,1.0,2.2470341065651374,0.9762151867176201,0.10338009759769068,0.1161523472156955,0.10338009759769068,0.1161523472156955,0.0,0.17953517038869748,0.179997212453539,0.38866698518872433,0.6546366070734118,0.36666666666666664,0.43333333333333335,0,0
3,0,physical,300,30,6c59a07e680aea68,1,0.0,1.0,2.430354957195034,0.9720161424900072,0.10338009759769068,0.1161523472156955,0.10338009759769068,0.1161523472156955,0.0,0.17953517038869748,0.179997212453539,0.38866698518872433,0.6546366070734118,0.36666666666666664,0.43333333333333335,0,0
3,1,latent,300,30,402caaeee36496eb,0,2.2470341065651374,0.9762151867176201,3.4583057020695653,0.9442458189319006,0.09266247002795841,0.09669923861369717,0.13579419779233548,0.15229346480364148,0.05559422618994431,0.17372517808273016,0.17678948928816993,0.40017955755063944,0.5858185090945455,0.5333333333333333,0.5,0,0
3,1,physical,300,30,402caaeee36496eb,0,2.430354957195034,0.9720161424900072,3.6816781647626704,0.9328706287500039,0.05623225393155248,0.07281885810239694,0.05623225393155248,0.07281885810239694,0.0,0.16219431140546992,0.1706037938181687,0.6139588217646863,0.692265469616329,0.5333333333333333,0.5666666666666667,0,0
3,2,latent,300,30,3396e8b8b854c909,0,3.4583057020695653,0.9442458189319006,4.221744325458762,0.9180046515992134,0.07813999624732651,0.08451534008843654,0.08178114818916445,0.08702865041476386,0.002513310326327317,0.16381557631630816,0.17106732352573584,0.4609522328025867,0.5208000088889876,0.4666666666666667,0.5333333333333333,0,0
3,2,physical,300,30,3396e8b8b854c909,0,3.6816781647626704,0.9328706287500039,4.833254840455818,0.9076544952121547,0.03928819255106885,0.0506873603686038,0.04747320503710352,0.0506873603686038,0.0,0.12951922494310328,0.12650171454455583,0.7187977644196046,0.7364721830242558,0.4666666666666667,0.4666666666666667,1,1
3,3,latent,300,30,8eb99ada2ca0a2fb,0,4.221744325458762,0.9180046515992134,4.946664849819527,0.8886787527007415,0.06821442837068423,0.07585410490068567,0.083626871394476,0.09009475340207268,0.01424064850138701,0.15027385835098195,0.1539598378458588,0.6269260769564106,0.6653825042500472,0.4666666666666667,0.5,0,0
3,3,physical,300,30,8eb99ada2ca0a2fb,0,4.833254840455818,0.9076544952121547,5.63060151124032,0.878774641252531,0.022925444991680446,0.026610148220942893,0.022925444991680446,0.026610148220942893,0.0,0.09477953159541926,0.08709388745270236,0.7957839531550349,0.8047324970277446,0.5333333333333333,0.5333333333333333,25,1
3,4,latent,300,30,1939d8d2fd80e627,0,4.946664849819527,0.8886787527007415,5.597288216937046,0.8841598509136824,0.021724152124842657,0.03681117405620736,0.035457288353579045,0.03681117405620736,0.0,0.12830064696400778,0.1265561930991551,0.7550981677574196,0.7550270558561762,0.5,0.5,3,1
3,4,physical,300,30,1939d8d2fd80e627,0,5.63060151124032,0.878774641252531,6.541163391078131,0.855595433319132,0.012180759461025203,0.019230570353789667,0.012180759461025203,0.019230570353789667,0.0,0.07464485931518028,0.0654561427435792,0.7324859165101834,0.7473776375293059,0.3333333333333333,0.4,79,1
