snapshot,selector,selected_candidate,selected_physical_distance_m,selected_success,selection_regret_m,success_gap,spearman_physical,top10pct_recall_physical,false_elite_rate_physical
25,learned_predicted_goal,0,0.03898700439849849,1.0,0.03414503213038045,0.0,0.013404148934988164,0.1,0.36666666666666664
25,true_dataset_goal,86,0.024065243872327988,1.0,0.019223271604209946,0.0,0.8343319370215223,0.6666666666666666,0.0
25,true_rendered_goal,86,0.024065243872327988,1.0,0.019223271604209946,0.0,0.8346483849820553,0.6666666666666666,0.0
