step,frozen_cm,corrected_cm
0,2.5232073333528304,2.5232073333528304
1,2.601073020034366,2.568322751257155
2,2.7650118701987796,2.7809981670644546
3,2.804322623544269,2.882041368219588
4,2.8856177296903396,3.1610278619660273
5,3.0867051747110152,3.465335981713401
6,3.2312350968519845,3.7548995680279202
