dataset,model,regime,horizon,n_planned,max_planning_transitions,cem_num_samples,cem_iterations,cem_num_elites,action_error,action_error_lo,action_error_hi,cra_eff,cra_eff_lo,cra_eff_hi,action_score,d_ref_p95
metaworld,dino_wm_metaworld,free_space,1,22,40,64,15,10,8.883533201434396,7.717577226053584,10.146704550629313,0.6363636363636364,0.4090909090909091,0.8181818181818182,0.6976332161981786,29.379990386962884
metaworld,dino_wm_metaworld,pre_grasp,1,7,40,64,15,10,6.880437365600041,4.534843708787646,9.448267217619076,0.7142857142857143,0.2857142857142857,1.0,0.7658121301274089,29.379990386962884
metaworld,dino_wm_metaworld,contact_manipulation,1,30,40,64,15,10,9.608017887175084,8.53338788896799,10.745489837899804,0.43333333333333335,0.26666666666666666,0.6,0.6729740969745668,29.379990386962884
metaworld,dino_wm_metaworld,free_space,3,24,40,64,15,10,18.82295749584834,16.210004823530713,21.18243847948809,0.7083333333333334,0.5416666666666666,0.875,0.35932730923557876,29.379990386962884
metaworld,dino_wm_metaworld,pre_grasp,3,2,40,64,15,10,13.40510368347168,6.31362247467041,20.49658489227295,1.0,1.0,1.0,0.5437335578768576,29.379990386962884
metaworld,dino_wm_metaworld,contact_manipulation,3,32,40,64,15,10,22.006238527595997,19.87853661365807,24.42977151181549,0.53125,0.375,0.6875,0.25097870224759933,29.379990386962884
