probe,n_anchors,median_spread_g_cm,median_spread_true_cm,corr_spread_g_true
pooled,128,1.3043008279055357,2.4237154982984066,0.03487827301953617
spatial,128,0.7358626229688525,2.4237154982984066,-0.01462967884809497
