dataset,model,regime,horizon,arm,n_planned,beta,s_z,s_g,action_error,action_error_lo,action_error_hi
metaworld,dino_wm_metaworld,free_space,3,l2,14,1.0,169.30589294433594,0.12760527431964874,18.851581922599248,14.799639633510795,23.166018976058275
metaworld,dino_wm_metaworld,free_space,3,aware,14,1.0,169.30589294433594,0.12760527431964874,21.480786902563914,17.31231353133917,26.072625190445354
metaworld,dino_wm_metaworld,free_space,3,obj,14,1.0,169.30589294433594,0.12760527431964874,21.480786911078862,17.3123136729002,26.072625320085457
metaworld,dino_wm_metaworld,free_space,3,hdyn,14,1.0,169.30589294433594,0.12760527431964874,24.03015443256923,19.577062964439392,28.634265652724675
metaworld,dino_wm_metaworld,free_space,3,aware_minus_l2_paired,14,1.0,169.30589294433594,0.12760527431964874,2.629204979964665,1.364906025145735,4.01049945546048
metaworld,dino_wm_metaworld,free_space,3,hdyn_minus_l2_paired,14,1.0,169.30589294433594,0.12760527431964874,5.1785725099699835,3.8408276191779547,6.837072310490267
metaworld,dino_wm_metaworld,pre_grasp,3,l2,6,1.0,169.30589294433594,0.12760527431964874,15.768547097841898,12.17720072567463,19.51424976189931
metaworld,dino_wm_metaworld,pre_grasp,3,aware,6,1.0,169.30589294433594,0.12760527431964874,21.148959755897522,16.65471305350463,25.26173988978068
metaworld,dino_wm_metaworld,pre_grasp,3,obj,6,1.0,169.30589294433594,0.12760527431964874,21.148959934711456,16.65471305350463,25.261740068594616
metaworld,dino_wm_metaworld,pre_grasp,3,hdyn,6,1.0,169.30589294433594,0.12760527431964874,21.49983557065328,13.749836124976483,28.668575048446655
metaworld,dino_wm_metaworld,pre_grasp,3,aware_minus_l2_paired,6,1.0,169.30589294433594,0.12760527431964874,5.380412658055623,3.4703604002793638,7.626230200131734
metaworld,dino_wm_metaworld,pre_grasp,3,hdyn_minus_l2_paired,6,1.0,169.30589294433594,0.12760527431964874,5.731288472811381,0.6518745422363281,9.21023424466451
metaworld,dino_wm_metaworld,contact_manipulation,3,l2,21,1.0,169.30589294433594,0.12760527431964874,20.121385438101633,16.552518432268077,23.4532130492585
metaworld,dino_wm_metaworld,contact_manipulation,3,aware,21,1.0,169.30589294433594,0.12760527431964874,21.52517350230898,17.972109462533677,24.949862607674937
metaworld,dino_wm_metaworld,contact_manipulation,3,obj,21,1.0,169.30589294433594,0.12760527431964874,21.53481579678399,17.98199278400058,24.959504958348614
metaworld,dino_wm_metaworld,contact_manipulation,3,hdyn,21,1.0,169.30589294433594,0.12760527431964874,22.01439012799944,18.476187818674816,25.446145858934948
metaworld,dino_wm_metaworld,contact_manipulation,3,aware_minus_l2_paired,21,1.0,169.30589294433594,0.12760527431964874,1.4037880642073495,0.019033169533525306,3.0578314832278655
metaworld,dino_wm_metaworld,contact_manipulation,3,hdyn_minus_l2_paired,21,1.0,169.30589294433594,0.12760527431964874,1.8930046898978097,0.5924099463792075,3.1061790256273176
