task,arm,seed,success,steps,final_state_dist,ee_dist,state_dist_success,expert_success_step,minutes
mw-push,l2,10000,0,100,0.7764865667490986,0.07224667785645669,0,51,5.66
mw-push,hexp,10000,0,100,0.5270978877222513,0.11636650281886281,0,51,5.67
mw-push,l2,10001,0,100,0.29784485950795425,0.018563803391110564,1,57,5.67
mw-push,hexp,10001,0,100,2.5961357926476003,0.020782831614354343,0,57,5.67
mw-push,l2,10002,0,100,0.43470592405811326,0.028237654123833122,0,66,5.66
mw-push,hexp,10002,0,100,0.5019296223023598,0.049098447940482765,0,66,5.67
mw-push,l2,10003,0,100,0.7001410166410077,0.013922537504995603,0,60,5.66
mw-push,hexp,10003,0,100,0.4808646162681935,0.08494657848588401,0,60,5.67
mw-push,l2,10004,0,100,0.8180040554174371,0.03114755665041066,0,67,5.67
mw-push,hexp,10004,0,100,0.5719251721650707,0.06704090982676807,0,67,5.68
mw-push,l2,10005,0,100,0.41583752272166097,0.03821761608890521,0,65,5.66
mw-push,hexp,10005,0,100,0.5280692021191292,0.07249429402255862,0,65,5.67
mw-push,l2,10006,0,100,0.4789855950802483,0.047523278029437094,0,71,5.66
mw-push,hexp,10006,0,100,0.5645599823023656,0.11300645421006296,0,71,5.67
mw-push,l2,10007,0,100,0.49535064649346605,0.06951710352937125,0,61,5.66
mw-push,hexp,10007,0,100,0.5277897380376709,0.16206229352156434,0,61,5.67
mw-push,l2,10008,0,100,0.6572062119234416,0.039251670326129924,0,55,5.66
mw-push,hexp,10008,0,100,0.5379325253348838,0.25479801978504973,0,55,5.67
mw-push,l2,10009,0,100,0.6263972709515325,0.048096221410116595,0,68,5.66
mw-push,hexp,10009,0,100,0.49830571225335346,0.0587293521668873,0,68,5.67
mw-push,l2,10010,0,100,0.40344231800143693,0.04108365234935549,0,60,5.67
mw-push,hexp,10010,0,100,0.4476207064600713,0.1018044376691612,0,60,5.7
mw-push,l2,10011,0,100,1.1447571244718318,0.03202564932157362,0,57,5.69
mw-push,hexp,10011,0,100,0.5160721446015117,0.19916912823190927,0,57,5.7
mw-push,l2,10012,0,100,1.4101287200904244,0.007814335724305512,0,56,5.69
mw-push,hexp,10012,0,100,0.46690135385705755,0.1441180324008698,0,56,5.7
mw-push,l2,10013,0,100,0.33571827281914307,0.02988724487207977,0,55,5.69
mw-push,hexp,10013,0,100,0.4689143574823042,0.16988372932495072,0,55,5.7
mw-push,l2,10014,0,100,0.4793735690599765,0.02973735891552616,0,64,5.69
mw-push,hexp,10014,0,100,0.5276344006674171,0.1599261274321473,0,64,5.7
mw-push,l2,10015,0,100,0.4288284345381446,0.02493482130721579,0,62,5.69
mw-push,hexp,10015,0,100,0.540499517624973,0.06286661776392712,0,62,5.7
mw-pick-place,l2,10000,0,100,0.4941060454307364,0.055167258088046754,0,51,5.69
mw-pick-place,hexp,10000,0,100,0.6719003973055235,0.24522033340357133,0,51,5.7
mw-pick-place,l2,10001,0,100,0.6820196894988327,0.020731688753928966,0,47,5.68
mw-pick-place,hexp,10001,0,100,0.48935394411907474,0.19765637783507395,0,47,5.69
mw-pick-place,l2,10002,0,100,0.42542055015913743,0.0196033931920691,0,56,5.68
mw-pick-place,hexp,10002,0,100,0.4893603397676078,0.04744297407065647,0,56,5.69
mw-pick-place,l2,10003,0,100,0.4691230539822099,0.019475135729246945,0,53,5.68
mw-pick-place,hexp,10003,0,100,0.5620350306891648,0.17390028308314284,0,53,5.69
mw-pick-place,l2,10004,0,100,0.5993468097771869,0.08684002872971043,0,58,5.68
mw-pick-place,hexp,10004,0,100,0.6064000230729215,0.1286499760324117,0,58,5.69
mw-pick-place,l2,10005,0,100,0.4738264987400348,0.06969171776293566,0,56,5.68
mw-pick-place,hexp,10005,0,100,0.5192872499255053,0.06827430704305172,0,56,5.69
mw-pick-place,l2,10006,0,100,0.48446727963128455,0.04352488886127094,0,59,5.69
mw-pick-place,hexp,10006,0,100,0.6638740700048975,0.2515750436350738,0,59,5.69
mw-pick-place,l2,10007,0,100,0.5581260312677936,0.03356460431905249,0,55,5.67
mw-pick-place,hexp,10007,0,100,0.6857850185438537,0.28446906507115316,0,55,5.68
mw-pick-place,l2,10008,0,100,0.33447473719099896,0.015544483441443045,0,46,5.68
mw-pick-place,hexp,10008,0,100,0.5288890154604963,0.2467683033170434,0,46,5.69
mw-pick-place,l2,10009,0,100,0.7858667141615016,0.06404001265427715,0,56,5.68
mw-pick-place,hexp,10009,0,100,0.4854372589043305,0.043949453592289994,0,56,5.68
mw-pick-place,l2,10010,0,100,0.4304564618716946,0.015574449488264823,0,50,5.68
mw-pick-place,hexp,10010,0,100,0.4420126546256953,0.09809025859113504,0,50,5.68
mw-pick-place,l2,10011,0,100,0.4845230640849022,0.04780451773768338,0,56,5.68
mw-pick-place,hexp,10011,0,100,0.639201766869349,0.265910576682272,0,56,5.68
mw-pick-place,l2,10012,0,100,0.5173289758502118,0.007538727202327772,0,60,5.67
mw-pick-place,hexp,10012,0,100,0.5465160208542291,0.11689657110617417,0,60,5.68
mw-pick-place,l2,10013,0,100,0.36965452560926765,0.006184546310693416,0,55,5.67
mw-pick-place,hexp,10013,0,100,1.7659718114566052,0.20278183581242054,0,55,5.68
mw-pick-place,l2,10014,0,100,0.42017692629885145,0.03939990447673332,0,55,5.67
mw-pick-place,hexp,10014,0,100,0.5973446383942436,0.2148696023912285,0,55,5.68
mw-pick-place,l2,10015,0,100,0.5281744277651711,0.02882090771276419,0,54,5.68
mw-pick-place,hexp,10015,0,100,0.5597847845432795,0.1269119526138196,0,54,5.69
