group,n,median_cm,mean_cm,p90_cm,frac_within_push_5cm,frac_within_pick_7cm
ALL,1368,2.1202463656663895,2.582468092441559,4.692684859037399,0.9210526315789473,0.9692982456140351
free_space,456,2.2066371515393257,2.7975501492619514,5.289993435144424,0.8859649122807017,0.9605263157894737
pre_grasp,547,1.8981924280524254,2.1667351946234703,3.9269763976335526,0.9597806215722121,0.9872029250457038
contact_manipulation,365,2.562594413757324,2.936793304979801,4.8100728541612625,0.9068493150684932,0.9534246575342465
