task,arm,seed,success,success_end,steps,final_state_dist,ee_dist,state_dist_success,expert_success_step,minutes
mw-reach,l2lorainv,10014,1,1,100,0.15316073853598702,0.03862005144555532,1,50,2.27
mw-reach,l2,10015,1,0,100,0.05707773551037399,0.03625888581706744,1,48,1.82
mw-reach,l2lora,10015,1,0,100,0.0858247636678073,0.06007864346225694,1,48,2.28
mw-reach,l2inv,10015,1,0,100,0.03451224632719594,0.023118280723378317,1,48,1.82
mw-reach,l2lorainv,10015,1,0,100,0.08004997074763101,0.05820929283009997,1,48,2.27
mw-push,l2,10000,0,0,100,0.7807215116353123,0.07067692478203053,0,51,1.82
mw-push,l2lora,10000,0,0,100,0.7073666563572742,0.0390889421460121,0,51,2.27
mw-push,l2inv,10000,0,0,100,0.6396560564500183,0.06803587058899534,0,51,1.82
mw-push,l2lorainv,10000,0,0,100,0.7573401159657956,0.071922248228255,0,51,2.28
mw-push,l2,10001,0,0,100,1.176083620772824,0.027105294082297275,0,57,1.82
mw-push,l2lora,10001,0,0,100,0.2662135952672406,0.034542563044967264,1,57,2.27
mw-push,l2inv,10001,0,0,100,1.3394878893912094,0.03172664248221136,0,57,1.82
mw-push,l2lorainv,10001,0,0,100,0.33083722904644836,0.033899435402444396,0,57,2.28
mw-push,l2,10002,0,0,100,0.49953772585484224,0.04477580485087445,0,66,1.82
mw-push,l2lora,10002,0,0,100,0.39471608411318654,0.044424006720260124,0,66,2.27
mw-push,l2inv,10002,0,0,100,0.4091955953370294,0.03054681061745616,0,66,1.82
mw-push,l2lorainv,10002,0,0,100,0.3985503657254872,0.03489479899420047,0,66,2.27
mw-push,l2,10003,0,0,100,0.7233904459746537,0.03890160298637904,0,60,1.81
mw-push,l2lora,10003,0,0,100,0.5348993129286134,0.08618049175853769,0,60,2.28
mw-push,l2inv,10003,0,0,100,0.34601893494884084,0.016278803012241834,0,60,1.82
mw-push,l2lorainv,10003,0,0,100,0.3502323408712007,0.03881354077890377,0,60,2.27
mw-push,l2,10004,0,0,100,0.8203855901214112,0.05539686985933259,0,67,1.82
mw-push,l2lora,10004,0,0,100,0.7489514581523921,0.039881311558420514,0,67,2.28
mw-push,l2inv,10004,0,0,100,0.48583141399642554,0.055309457840367136,0,67,1.82
mw-push,l2lorainv,10004,0,0,100,0.5377813888650198,0.023020719537868675,0,67,2.28
mw-push,l2,10005,0,0,100,0.5153453345210077,0.03831035416015248,0,65,1.81
mw-push,l2lora,10005,0,0,100,0.5113323342850308,0.02018747878323403,0,65,2.27
mw-push,l2inv,10005,0,0,100,0.4705252915243031,0.05918742546259164,0,65,1.82
mw-push,l2lorainv,10005,0,0,100,0.5214573528054831,0.03536375336586543,0,65,2.28
mw-push,l2,10006,0,0,100,0.4514981259519751,0.03957106601148606,0,71,1.81
mw-push,l2lora,10006,0,0,100,0.6608354021577233,0.09998037942326721,0,71,2.28
mw-push,l2inv,10006,0,0,100,0.4629851035572357,0.03371396321145906,0,71,1.82
mw-push,l2lorainv,10006,0,0,100,0.44624212659578305,0.06779558273548643,0,71,2.28
mw-push,l2,10007,0,0,100,0.4323386320475184,0.028890817977336412,0,61,1.81
mw-push,l2lora,10007,0,0,100,0.49069469155347484,0.05931378014609118,0,61,2.28
mw-push,l2inv,10007,0,0,100,0.4690245457919888,0.04203824190047554,0,61,1.82
mw-push,l2lorainv,10007,0,0,100,0.3737601060980187,0.07624408836258374,0,61,2.27
mw-push,l2,10008,0,0,100,0.3432656080261278,0.021246270831459923,0,55,1.82
mw-push,l2lora,10008,0,0,100,0.42872207237781995,0.050277315282753504,0,55,2.28
mw-push,l2inv,10008,0,0,100,0.2687901969866602,0.01797818413011144,1,55,1.82
mw-push,l2lorainv,10008,0,0,100,0.4218856442369182,0.09497987103946068,0,55,2.28
mw-push,l2,10009,0,0,100,0.43617455308077946,0.023213315776407995,0,68,1.81
mw-push,l2lora,10009,0,0,100,0.4103070685918501,0.05239064329686714,0,68,2.28
mw-push,l2inv,10009,0,0,100,0.492495975000887,0.05013806235583774,0,68,1.81
mw-push,l2lorainv,10009,0,0,100,0.4955313447569878,0.034150677215441995,0,68,2.27
mw-push,l2,10010,0,0,100,0.33300599213621895,0.03874503574441197,0,60,1.82
mw-push,l2lora,10010,0,0,100,0.34519987208106395,0.07064454080460776,0,60,2.28
mw-push,l2inv,10010,0,0,100,0.42989896603137384,0.04256526879779289,0,60,1.82
mw-push,l2lorainv,10010,0,0,100,0.3186714044336474,0.08738560017246592,0,60,2.27
mw-push,l2,10011,0,0,100,1.5636212316050024,0.018273685964728482,0,57,1.82
mw-push,l2lora,10011,0,0,100,0.7011177238242653,0.011826764880777132,0,57,2.28
mw-push,l2inv,10011,0,0,100,0.35604945553757184,0.036236314418637026,0,57,1.82
mw-push,l2lorainv,10011,0,0,100,0.33392036831090866,0.052332910978151306,0,57,2.28
mw-push,l2,10012,0,0,100,1.145714192998955,0.07213683350277397,0,56,1.82
mw-push,l2lora,10012,0,0,100,0.7327074208569074,0.09452836639150033,0,56,2.28
mw-push,l2inv,10012,0,0,100,0.33146641742289323,0.035346276640612566,0,56,1.82
mw-push,l2lorainv,10012,0,0,100,0.41269383467778886,0.032773364841019156,0,56,2.28
mw-push,l2,10013,0,0,100,0.5893094928615242,0.03698462265768057,0,55,1.82
mw-push,l2lora,10013,0,0,100,0.326965302714079,0.06661270346453414,0,55,2.28
mw-push,l2inv,10013,0,0,100,0.37290534637071165,0.04426622588700694,0,55,1.82
mw-push,l2lorainv,10013,0,0,100,0.2565791017537471,0.04731805106016335,1,55,2.28
