step,frozen_cm,corrected_cm
0,7.089846664004856,7.089846664004856
1,6.41741222805447,2.747449278831482
2,6.263285378615062,3.0613565610514746
3,6.106984946462843,3.6432497203350067
4,6.049214469061957,4.25254644619094
5,6.1323924197091,4.709698922104306
6,6.2047213315963745,5.2172064781188965
