snapshot,iter,branch,n_candidates,n_elite,noise_hash,identical_to_other_branch,pre_mean_l2,pre_var_mean,post_mean_l2,post_var_mean,best_task_distance_m,best_shaped_cost,selected_task_distance_m,selected_shaped_cost,selection_regret_m,mean_task_distance_m,median_task_distance_m,latent_physical_spearman,latent_task_spearman,latent_top10pct_recall_physical,latent_top10pct_recall_task,n_success,success_any
22,0,latent,300,30,33ea1706539d54bf,1,0.0,1.0,2.3615188433314755,0.9724196960656437,0.009159600275441632,0.014454508160270368,0.017323717268561984,0.06455365127968228,0.05009914311941191,0.02895340079234762,0.02868915409255108,0.4037644862720696,0.5553439482660918,0.16666666666666666,0.4,297,1
22,0,physical,300,30,33ea1706539d54bf,1,0.0,1.0,2.3466559464546317,0.9798951252498571,0.009159600275441632,0.014454508160270368,0.009159600275441632,0.014454508160270368,0.0,0.02895340079234762,0.02868915409255108,0.4037644862720696,0.5553439482660918,0.16666666666666666,0.4,297,1
22,1,latent,300,30,6c3e81ec2c5a51cb,0,2.3615188433314755,0.9724196960656437,3.4367043166434272,0.9605405237468557,0.009301547431960612,0.014535780273174653,0.03721301474638583,0.05927803805659871,0.044742257783424055,0.028083945591504816,0.026819764854575944,0.42036689296547736,0.6057222858031756,0.13333333333333333,0.13333333333333333,293,1
22,1,physical,300,30,6c3e81ec2c5a51cb,0,2.3466559464546317,0.9798951252498571,3.6696723305999157,0.9529627837918827,0.007966234396140788,0.013683564101141212,0.007966234396140788,0.013683564101141212,0.0,0.019689312830984997,0.02028044745954098,0.3784922054689497,0.4858800653340592,0.16666666666666666,0.2,300,1
22,2,latent,300,30,bd32abf051296bd3,0,3.4367043166434272,0.9605405237468557,5.840063557056008,0.9302233674909751,0.008588577368922379,0.01513777934125192,0.008588577368922379,0.04359384895743771,0.02845606961618579,0.023852009818646536,0.020892762491061798,0.1256836187068745,0.5269431882576473,0.0,0.03333333333333333,292,1
22,2,physical,300,30,bd32abf051296bd3,0,3.6696723305999157,0.9529627837918827,4.497434633167785,0.9307943353551086,0.007883914639583588,0.013625739400401852,0.007911426519369824,0.013625739400401852,0.0,0.011989780727041315,0.01093044716988332,0.3602471138568206,0.4422613584595384,0.03333333333333333,0.06666666666666667,300,1
22,3,latent,300,30,22ab4d62c5fe9f35,0,5.840063557056008,0.9302233674909751,7.0229573750532515,0.882731768403621,0.01832524203844438,0.03178899227820549,0.020179006827976027,0.0450325308661705,0.01324353858796501,0.023778141852213056,0.02034762503016531,-0.19999466660740672,0.5318507983422037,0.0,0.23333333333333334,295,1
22,3,physical,300,30,22ab4d62c5fe9f35,0,4.497434633167785,0.9307943353551086,4.887871083627671,0.9009293852961653,0.007848094508491145,0.013628990974494631,0.007879897132677356,0.013628990974494631,0.0,0.008537843062980974,0.00799989679693491,0.2727399193324371,0.31057367304081157,0.16666666666666666,0.2,300,1
22,4,latent,300,30,f1ba14e3c6f4f1d7,0,7.0229573750532515,0.882731768403621,7.688244070571459,0.8412120719122186,0.010946694348791735,0.034313790927523985,0.010946694348791735,0.04068929045001947,0.006375499522495484,0.020983535904474788,0.020128725944245564,-0.4619273547483861,0.3708690096556628,0.03333333333333333,0.4666666666666667,298,1
22,4,physical,300,30,f1ba14e3c6f4f1d7,0,4.887871083627671,0.9009293852961653,5.325341606864469,0.8677655428205425,0.00781984319234555,0.013614482788297935,0.007925168410811426,0.013614482788297935,0.0,0.008125844616649846,0.00791454385344045,0.10397893309925667,-0.024760719563550707,0.16666666666666666,0.13333333333333333,300,1
22,5,latent,300,30,bbd1ed4c1e43138d,0,7.688244070571459,0.8412120719122186,8.266295476864242,0.8175205849202601,0.01827983003022088,0.042252669872218825,0.018404849278959592,0.0451380656972212,0.002885395825002378,0.020420039241489253,0.02013190732106196,-0.17804775608617873,0.39391815464616275,0.1,0.4666666666666667,300,1
22,5,physical,300,30,bbd1ed4c1e43138d,0,5.325341606864469,0.8677655428205425,5.683681993795641,0.852012995831114,0.00784864363074818,0.013612853629809924,0.007910339592594656,0.013612853629809924,0.0,0.008037580304983648,0.00790454730438388,0.067874087489861,0.0507672307470083,0.06666666666666667,0.06666666666666667,300,1
22,6,latent,300,30,74b81be2a09ed565,0,8.266295476864242,0.8175205849202601,8.79274170623356,0.782535490303841,0.018266921579219258,0.042851353792975666,0.018310769135842155,0.04511495283467627,0.0022635990417006063,0.019957861670723772,0.019911756139000272,-0.06638873765264058,0.5076251958355092,0.0,0.5,300,1
22,6,physical,300,30,74b81be2a09ed565,0,5.683681993795641,0.852012995831114,6.073474147912002,0.820748003833481,0.007767732406349899,0.013584899821585353,0.007767732406349899,0.013584899821585353,0.0,0.007932483167600327,0.007901683305990607,0.31714041267125187,0.07345770508561204,0.3333333333333333,0.13333333333333333,300,1
