tag,task,seed,replan,phase,rho,recall,r_sel_cm,n
dino_pick_l2,mw-pick-place,41004,3,final,-0.040756075607560754,0.0,0.0,100
dino_pick_l2,mw-pick-place,41004,4,init,-0.454041404140414,0.0,0.0,100
dino_pick_l2,mw-pick-place,41004,4,final,-0.02994299429942994,0.0,0.0,100
dino_pick_l2,mw-pick-place,41004,5,init,0.2275307530753075,0.0,0.0,100
dino_pick_l2,mw-pick-place,41004,5,final,0.050669066906690666,0.1,0.0,100
dino_pick_l2,mw-pick-place,41004,6,init,0.4772517251725172,0.4,0.0,100
dino_pick_l2,mw-pick-place,41004,6,final,-0.07327932793279328,0.0,0.0,100
dino_pick_l2,mw-pick-place,41005,0,init,0.7903510351035101,0.4,0.0,100
dino_pick_l2,mw-pick-place,41005,0,final,-0.19727572757275724,0.0,0.0,100
dino_pick_l2,mw-pick-place,41005,1,init,0.21131713171317132,0.1,0.0,100
dino_pick_l2,mw-pick-place,41005,1,final,-0.49844584458445834,0.1,0.0,100
dino_pick_l2,mw-pick-place,41005,2,init,-0.19249924992499245,0.0,0.0,100
dino_pick_l2,mw-pick-place,41005,2,final,0.14526252625262526,0.0,0.0,100
dino_pick_l2,mw-pick-place,41005,3,init,0.2713471347134713,0.0,0.0,100
dino_pick_l2,mw-pick-place,41005,3,final,0.1148154815481548,0.0,0.0,100
dino_pick_l2,mw-pick-place,41005,4,init,0.519075907590759,0.4,0.0,100
dino_pick_l2,mw-pick-place,41005,4,final,-0.053765376537653765,0.0,0.0,100
dino_pick_l2,mw-pick-place,41005,5,init,0.6278787878787879,0.2,0.0,100
dino_pick_l2,mw-pick-place,41005,5,final,-0.009936993699369937,0.0,0.0,100
dino_pick_l2,mw-pick-place,41005,6,init,0.5754575457545754,0.2,0.0,100
dino_pick_l2,mw-pick-place,41005,6,final,-0.06190219021902189,0.0,0.0,100
dino_pick_l2,mw-pick-place,41006,0,init,0.5375577557755775,0.4,0.0,100
dino_pick_l2,mw-pick-place,41006,0,final,0.2427362736273627,0.1,0.0,100
dino_pick_l2,mw-pick-place,41006,1,init,0.2745634563456345,0.1,0.0,100
dino_pick_l2,mw-pick-place,41006,1,final,-0.09929792979297927,0.0,0.0,100
dino_pick_l2,mw-pick-place,41006,2,init,-0.03515151515151515,0.0,0.3076791763305581,100
dino_pick_l2,mw-pick-place,41006,2,final,-0.08901290129012901,0.0,0.0,100
dino_pick_l2,mw-pick-place,41006,3,init,-0.28045604560456044,0.0,0.0,100
dino_pick_l2,mw-pick-place,41006,3,final,-0.10534653465346533,0.0,0.0,100
dino_pick_l2,mw-pick-place,41006,4,init,-0.20337233723372333,0.0,0.0,100
dino_pick_l2,mw-pick-place,41006,4,final,0.09048904890489047,0.1,0.0,100
dino_pick_l2,mw-pick-place,41006,5,init,-0.18538253825382536,0.0,0.0,100
dino_pick_l2,mw-pick-place,41006,5,final,0.10826282628262825,0.1,0.0,100
dino_pick_l2,mw-pick-place,41006,6,init,0.3163756375637563,0.1,0.0,100
dino_pick_l2,mw-pick-place,41006,6,final,0.09155715571557155,0.1,0.0,100
dino_pick_l2,mw-pick-place,41007,0,init,0.562052205220522,0.3,0.0,100
dino_pick_l2,mw-pick-place,41007,0,final,-0.3037623762376237,0.0,0.0,100
dino_pick_l2,mw-pick-place,41007,1,init,0.04330033003300329,0.0,0.0,100
dino_pick_l2,mw-pick-place,41007,1,final,-0.3751215121512151,0.0,0.0,100
dino_pick_l2,mw-pick-place,41007,2,init,-0.488016801680168,0.0,0.0,100
dino_pick_l2,mw-pick-place,41007,2,final,0.37736573657365735,0.0,0.0,100
dino_pick_l2,mw-pick-place,41007,3,init,0.3605880588058806,0.2,0.0,100
dino_pick_l2,mw-pick-place,41007,3,final,0.2255265526552655,0.0,0.0,100
dino_pick_l2,mw-pick-place,41007,4,init,0.7420582058205819,0.5,0.0,100
dino_pick_l2,mw-pick-place,41007,4,final,0.21807380738073803,0.0,0.0,100
dino_pick_l2,mw-pick-place,41007,5,init,0.6814041404140414,0.1,0.0,100
dino_pick_l2,mw-pick-place,41007,5,final,0.1269246924692469,0.0,0.0,100
dino_pick_l2,mw-pick-place,41007,6,init,0.11986798679867985,0.0,0.0,100
dino_pick_l2,mw-pick-place,41007,6,final,-0.10973897389738972,0.0,0.0,100
dino_pick_l2,mw-pick-place,41008,0,init,0.72010801080108,0.5,0.0,100
dino_pick_l2,mw-pick-place,41008,0,final,0.1382058205820582,0.1,0.0,100
dino_pick_l2,mw-pick-place,41008,1,init,0.2959615961596159,0.1,0.905486941337591,100
dino_pick_l2,mw-pick-place,41008,1,final,-0.23828382838283826,0.0,0.0,100
dino_pick_l2,mw-pick-place,41008,2,init,-0.18474647464746471,0.0,0.1986712217330988,100
dino_pick_l2,mw-pick-place,41008,2,final,-0.6114731473147315,0.0,0.0,100
dino_pick_l2,mw-pick-place,41008,3,init,-0.5548154815481546,0.0,0.0,100
dino_pick_l2,mw-pick-place,41008,3,final,-0.2414161416141614,0.0,0.0,100
dino_pick_l2,mw-pick-place,41008,4,init,-0.16265226522652262,0.0,0.0,100
dino_pick_l2,mw-pick-place,41008,4,final,-0.4159855985598559,0.0,0.0,100
dino_pick_l2,mw-pick-place,41008,5,init,-0.1713051305130513,0.1,0.0,100
dino_pick_l2,mw-pick-place,41008,5,final,-0.20937293729372936,0.1,0.0,100
dino_pick_l2,mw-pick-place,41008,6,init,-0.32049204920492047,0.0,0.0,100
dino_pick_l2,mw-pick-place,41008,6,final,-0.12067206720672066,0.0,0.0,100
dino_pick_l2,mw-pick-place,41009,0,init,-0.2927452745274527,0.0,0.0,100
dino_pick_l2,mw-pick-place,41009,0,final,0.1603240324032403,0.0,0.0,100
dino_pick_l2,mw-pick-place,41009,1,init,-0.32830483048304826,0.0,0.0,100
dino_pick_l2,mw-pick-place,41009,1,final,-0.3848664866486648,0.0,0.0,100
dino_pick_l2,mw-pick-place,41009,2,init,-0.6922172217221721,0.0,0.0,100
dino_pick_l2,mw-pick-place,41009,2,final,-0.30441044104410436,0.0,0.0,100
dino_pick_l2,mw-pick-place,41009,3,init,-0.36273627362736266,0.0,0.0,100
dino_pick_l2,mw-pick-place,41009,3,final,-0.2566096609660966,0.0,0.0,100
dino_pick_l2,mw-pick-place,41009,4,init,0.3649444944494449,0.0,0.0,100
dino_pick_l2,mw-pick-place,41009,4,final,0.36529252925292527,0.0,0.0,100
dino_pick_l2,mw-pick-place,41009,5,init,0.2836243624362436,0.3,0.0,100
dino_pick_l2,mw-pick-place,41009,5,final,-0.25264926492649264,0.0,0.0,100
dino_pick_l2,mw-pick-place,41009,6,init,0.040804080408040795,0.1,0.0,100
dino_pick_l2,mw-pick-place,41009,6,final,-0.4553255325532553,0.0,0.0,100
dino_pick_l2,mw-pick-place,41010,0,init,0.1124992499249925,0.0,0.0,100
dino_pick_l2,mw-pick-place,41010,0,final,-0.3506990699069907,0.0,0.0,100
dino_pick_l2,mw-pick-place,41010,1,init,-0.378061806180618,0.0,0.0,100
dino_pick_l2,mw-pick-place,41010,1,final,-0.4242064206420642,0.0,0.0,100
dino_pick_l2,mw-pick-place,41010,2,init,-0.2971017101710171,0.1,0.0,100
dino_pick_l2,mw-pick-place,41010,2,final,0.3157995799579957,0.0,0.0,100
dino_pick_l2,mw-pick-place,41010,3,init,0.3416141614161416,0.1,0.0,100
dino_pick_l2,mw-pick-place,41010,3,final,-0.05546954695469546,0.0,0.0,100
dino_pick_l2,mw-pick-place,41010,4,init,0.3573237323732373,0.1,0.0,100
dino_pick_l2,mw-pick-place,41010,4,final,-0.010585058505850585,0.0,0.0,100
dino_pick_l2,mw-pick-place,41010,5,init,0.20600060006000598,0.1,0.0,100
dino_pick_l2,mw-pick-place,41010,5,final,-0.08206420642064205,0.0,0.0,100
dino_pick_l2,mw-pick-place,41010,6,init,-0.13785778577857785,0.0,0.0,100
dino_pick_l2,mw-pick-place,41010,6,final,-0.13777377737773777,0.0,0.0,100
dino_pick_l2,mw-pick-place,41011,0,init,0.4844404440444044,0.0,0.0,100
dino_pick_l2,mw-pick-place,41011,0,final,-0.04950495049504951,0.0,0.0,100
dino_pick_l2,mw-pick-place,41011,1,init,0.2851845184518451,0.0,0.0,100
dino_pick_l2,mw-pick-place,41011,1,final,-0.12370837083708369,0.0,0.0,100
dino_pick_l2,mw-pick-place,41011,2,init,0.10473447344734471,0.1,0.0,100
dino_pick_l2,mw-pick-place,41011,2,final,-0.12346834683468345,0.0,0.0,100
dino_pick_l2,mw-pick-place,41011,3,init,0.15621962196219621,0.0,0.0,100
dino_pick_l2,mw-pick-place,41011,3,final,-0.6215541554155415,0.0,0.0,100
dino_pick_l2,mw-pick-place,41011,4,init,0.033135313531353135,0.1,0.0,100
dino_pick_l2,mw-pick-place,41011,4,final,-0.24126012601260124,0.0,0.0,100
dino_pick_l2,mw-pick-place,41011,5,init,0.037047704770477044,0.0,0.0,100
dino_pick_l2,mw-pick-place,41011,5,final,-0.20366036603660362,0.0,0.0,100
dino_pick_l2,mw-pick-place,41011,6,init,-0.03135913591359135,0.0,0.0,100
dino_pick_l2,mw-pick-place,41011,6,final,-0.11057905790579056,0.0,0.0,100
dino_pick_l2,mw-pick-place,41012,0,init,0.3984878487848785,0.6,0.0,100
dino_pick_l2,mw-pick-place,41012,0,final,-0.34143414341434136,0.0,0.0,100
dino_pick_l2,mw-pick-place,41012,1,init,0.012265226522652262,0.1,0.0,100
dino_pick_l2,mw-pick-place,41012,1,final,-0.23720372037203719,0.0,0.0,100
dino_pick_l2,mw-pick-place,41012,2,init,-0.24164416441644163,0.0,0.0,100
dino_pick_l2,mw-pick-place,41012,2,final,-0.23542754275427538,0.0,0.0,100
dino_pick_l2,mw-pick-place,41012,3,init,-0.26499849984998497,0.0,0.0,100
dino_pick_l2,mw-pick-place,41012,3,final,-0.275031503150315,0.0,0.0,100
dino_pick_l2,mw-pick-place,41012,4,init,-0.20033603360336033,0.0,0.0,100
dino_pick_l2,mw-pick-place,41012,4,final,-0.06156615661566155,0.0,0.0,100
dino_pick_l2,mw-pick-place,41012,5,init,-0.12357635763576356,0.0,0.0,100
dino_pick_l2,mw-pick-place,41012,5,final,-0.4249504950495049,0.0,0.0,100
dino_pick_l2,mw-pick-place,41012,6,init,-0.09142514251425142,0.0,0.0,100
dino_pick_l2,mw-pick-place,41012,6,final,0.2612901290129013,0.1,0.0,100
dino_pick_l2,mw-pick-place,41013,0,init,0.4837083708370837,0.2,0.0,100
dino_pick_l2,mw-pick-place,41013,0,final,-0.09782178217821783,0.0,0.0,100
dino_pick_l2,mw-pick-place,41013,1,init,-0.12618061806180617,0.0,0.0,100
dino_pick_l2,mw-pick-place,41013,1,final,-0.8272067206720671,0.0,0.0,100
dino_pick_l2,mw-pick-place,41013,2,init,-0.7149834983498349,0.0,0.0,100
dino_pick_l2,mw-pick-place,41013,2,final,0.2275427542754275,0.1,0.0,100
dino_pick_l2,mw-pick-place,41013,3,init,-0.5026462646264626,0.0,0.0,100
dino_pick_l2,mw-pick-place,41013,3,final,0.10455445544554456,0.0,0.0,100
dino_pick_l2,mw-pick-place,41013,4,init,0.0577137713771377,0.0,0.0,100
dino_pick_l2,mw-pick-place,41013,4,final,0.015049504950495047,0.0,0.0,100
dino_pick_l2,mw-pick-place,41013,5,init,-0.013261326132613261,0.0,0.0,100
dino_pick_l2,mw-pick-place,41013,5,final,0.0634143414341434,0.0,0.0,100
dino_pick_l2,mw-pick-place,41013,6,init,0.31348334833483343,0.0,0.0,100
dino_pick_l2,mw-pick-place,41013,6,final,0.11768376837683767,0.0,0.0,100
dino_pick_l2,mw-pick-place,41014,0,init,-0.08657665766576657,0.0,0.0,100
dino_pick_l2,mw-pick-place,41014,0,final,-0.3305130513051305,0.1,0.0,100
dino_pick_l2,mw-pick-place,41014,1,init,-0.1704290429042904,0.0,0.0,100
dino_pick_l2,mw-pick-place,41014,1,final,-0.6542574257425743,0.0,0.0,100
dino_pick_l2,mw-pick-place,41014,2,init,-0.5067506750675067,0.0,0.0,100
dino_pick_l2,mw-pick-place,41014,2,final,-0.04968496849684968,0.0,0.0,100
dino_pick_l2,mw-pick-place,41014,3,init,-0.08406840684068406,0.0,0.0,100
dino_pick_l2,mw-pick-place,41014,3,final,-0.0699189918991899,0.0,0.0,100
dino_pick_l2,mw-pick-place,41014,4,init,0.37776177617761775,0.1,0.0,100
dino_pick_l2,mw-pick-place,41014,4,final,-0.20902490249024902,0.0,0.0,100
dino_pick_l2,mw-pick-place,41014,5,init,0.1392379237923792,0.0,0.0,100
dino_pick_l2,mw-pick-place,41014,5,final,0.05045304530453045,0.0,0.0,100
dino_pick_l2,mw-pick-place,41014,6,init,0.2442484248424842,0.0,0.0,100
dino_pick_l2,mw-pick-place,41014,6,final,0.1045064506450645,0.0,0.0,100
dino_pick_l2,mw-pick-place,41015,0,init,-0.02028202820282028,0.0,0.0,100
dino_pick_l2,mw-pick-place,41015,0,final,-0.17921445909009281,0.0,0.0,100
dino_pick_l2,mw-pick-place,41015,1,init,-0.15193519351935192,0.0,0.0,100
dino_pick_l2,mw-pick-place,41015,1,final,-0.19884788478847884,0.0,0.0,100
dino_pick_l2,mw-pick-place,41015,2,init,-0.4105730573057305,0.0,0.0,100
dino_pick_l2,mw-pick-place,41015,2,final,0.09947794779477948,0.0,0.0,100
dino_pick_l2,mw-pick-place,41015,3,init,0.33339333933393334,0.0,0.0,100
dino_pick_l2,mw-pick-place,41015,3,final,0.11725172517251724,0.0,0.0,100
dino_pick_l2,mw-pick-place,41015,4,init,0.058037803780378025,0.0,0.0,100
dino_pick_l2,mw-pick-place,41015,4,final,-0.19954395439543954,0.0,0.0,100
dino_pick_l2,mw-pick-place,41015,5,init,-0.37700570057005695,0.0,0.0,100
dino_pick_l2,mw-pick-place,41015,5,final,-0.13126912691269127,0.0,0.0,100
dino_pick_l2,mw-pick-place,41015,6,init,-0.1862106210621062,0.0,0.0,100
dino_pick_l2,mw-pick-place,41015,6,final,-0.06165016501650165,0.0,0.0,100
dino_push_l2,mw-push,41000,0,init,0.6877407740774076,0.6,0.0,100
dino_push_l2,mw-push,41000,0,final,-0.020906090609060905,0.0,0.0,100
dino_push_l2,mw-push,41000,1,init,0.2544134413441344,0.0,0.046956539154052734,100
dino_push_l2,mw-push,41000,1,final,-0.5403660366036603,0.0,0.0,100
dino_push_l2,mw-push,41000,2,init,-0.37104110411041097,0.0,0.0,100
dino_push_l2,mw-push,41000,2,final,-0.10474647464746473,0.0,0.0,100
dino_push_l2,mw-push,41000,3,init,0.10847884788478847,0.0,0.0,100
dino_push_l2,mw-push,41000,3,final,-0.5803540354035402,0.0,0.0,100
dino_push_l2,mw-push,41000,4,init,0.33306930693069303,0.2,0.0,100
dino_push_l2,mw-push,41000,4,final,0.07804380438043804,0.0,0.0,100
dino_push_l2,mw-push,41000,5,init,-0.009036903690369035,0.2,0.0,100
dino_push_l2,mw-push,41000,5,final,0.23227122712271225,0.0,0.0,100
dino_push_l2,mw-push,41000,6,init,0.03162316231623162,0.0,0.0,100
dino_push_l2,mw-push,41000,6,final,-0.04594059405940594,0.0,0.0,100
dino_push_l2,mw-push,41001,0,init,0.7753735373537353,0.4,0.0,100
dino_push_l2,mw-push,41001,0,final,0.21954995499549954,0.0,0.0,100
dino_push_l2,mw-push,41001,1,init,0.23435943594359435,0.1,0.00152587890625,100
dino_push_l2,mw-push,41001,1,final,-0.5387818781878188,0.0,0.0,100
dino_push_l2,mw-push,41001,2,init,-0.1311251125112511,0.0,0.0,100
dino_push_l2,mw-push,41001,2,final,-0.628226822682268,0.0,0.0,100
dino_push_l2,mw-push,41001,3,init,-0.24957695769576957,0.0,0.0,100
dino_push_l2,mw-push,41001,3,final,-0.1571197119711971,0.0,0.0,100
dino_push_l2,mw-push,41001,4,init,0.5373657365736573,0.1,0.0,100
dino_push_l2,mw-push,41001,4,final,-0.39139513951395133,0.0,0.0,100
dino_push_l2,mw-push,41001,5,init,0.5301170117011701,0.2,0.0,100
dino_push_l2,mw-push,41001,5,final,-0.3168076807680768,0.0,0.0,100
dino_push_l2,mw-push,41001,6,init,0.2642424242424242,0.2,0.0,100
dino_push_l2,mw-push,41001,6,final,0.10607860786078606,0.1,0.0,100
dino_push_l2,mw-push,41002,0,init,0.6837083708370836,0.2,0.0,100
dino_push_l2,mw-push,41002,0,final,0.12768076807680767,0.0,0.0,100
dino_push_l2,mw-push,41002,1,init,0.13028502850285026,0.0,0.0,100
dino_push_l2,mw-push,41002,1,final,0.10684668466846685,0.0,0.0,100
dino_push_l2,mw-push,41002,2,init,-0.2531293129312931,0.0,0.0,100
dino_push_l2,mw-push,41002,2,final,-0.6834683468346834,0.0,0.0,100
dino_push_l2,mw-push,41002,3,init,-0.43813981398139806,0.0,0.0,100
dino_push_l2,mw-push,41002,3,final,0.30532253225322525,0.1,0.0,100
dino_push_l2,mw-push,41002,4,init,0.38247824782478246,0.0,0.0,100
dino_push_l2,mw-push,41002,4,final,-0.24871287128712868,0.0,0.0,100
dino_push_l2,mw-push,41002,5,init,0.806012601260126,0.5,0.0,100
dino_push_l2,mw-push,41002,5,final,0.31339427961221045,0.1,0.0,100
dino_push_l2,mw-push,41002,6,init,0.6088928892889288,0.3,0.0,100
dino_push_l2,mw-push,41002,6,final,0.005388538853885388,0.0,0.0,100
dino_push_l2,mw-push,41003,0,init,0.8000600060006,0.1,0.0,100
dino_push_l2,mw-push,41003,0,final,-0.40919414699898243,0.0,0.0,100
dino_push_l2,mw-push,41003,1,init,0.03066306630663066,0.0,1.2303739786148098,100
dino_push_l2,mw-push,41003,1,final,-0.5068226822682268,0.0,0.0,100
dino_push_l2,mw-push,41003,2,init,-0.32523252325232527,0.0,0.0,100
dino_push_l2,mw-push,41003,2,final,-0.27548754875487547,0.0,0.0,100
dino_push_l2,mw-push,41003,3,init,0.8341434143414341,0.4,0.0,100
dino_push_l2,mw-push,41003,3,final,0.14717071707170717,0.0,0.0,100
dino_push_l2,mw-push,41003,4,init,0.7212241224122412,0.5,0.0,100
dino_push_l2,mw-push,41003,4,final,-0.11383138313831383,0.0,0.0,100
dino_push_l2,mw-push,41003,5,init,0.38127812781278125,0.1,0.0,100
dino_push_l2,mw-push,41003,5,final,0.09072907290729072,0.0,0.0,100
dino_push_l2,mw-push,41003,6,init,0.1607440744074407,0.2,0.0,100
dino_push_l2,mw-push,41003,6,final,0.0869126912691269,0.0,0.0,100
dino_push_l2,mw-push,41004,0,init,0.4427602760276027,0.1,0.0,100
dino_push_l2,mw-push,41004,0,final,0.1821182118211821,0.2,0.0,100
dino_push_l2,mw-push,41004,1,init,-0.07573957395739574,0.0,0.0,100
dino_push_l2,mw-push,41004,1,final,-0.22586258625862582,0.0,0.0,100
dino_push_l2,mw-push,41004,2,init,-0.29662166216621655,0.0,0.0,100
dino_push_l2,mw-push,41004,2,final,-0.0942094209420942,0.0,0.0,100
dino_push_l2,mw-push,41004,3,init,-0.07068706870687069,0.0,0.0,100
dino_push_l2,mw-push,41004,3,final,-0.3111440478383276,0.0,0.0,100
dino_push_l2,mw-push,41004,4,init,0.665070507050705,0.1,0.0,100
dino_push_l2,mw-push,41004,4,final,-0.11907590759075906,0.0,0.0,100
dino_push_l2,mw-push,41004,5,init,0.7940834083408341,0.5,0.0,100
dino_push_l2,mw-push,41004,5,final,-0.042256225622562246,0.0,0.0,100
dino_push_l2,mw-push,41004,6,init,-0.012985298529852984,0.0,0.0,100
dino_push_l2,mw-push,41004,6,final,-0.0251065106510651,0.0,0.0,100
dino_push_l2,mw-push,41005,0,init,0.8313591359135912,0.5,0.0,100
dino_push_l2,mw-push,41005,0,final,-0.2104170417041704,0.0,0.0,100
dino_push_l2,mw-push,41005,1,init,0.2581578157815781,0.2,0.0,100
dino_push_l2,mw-push,41005,1,final,-0.4478007800780078,0.1,0.0,100
dino_push_l2,mw-push,41005,2,init,-0.3061746174617462,0.0,0.0,100
dino_push_l2,mw-push,41005,2,final,-0.29326132613261324,0.1,0.0,100
dino_push_l2,mw-push,41005,3,init,0.44698469846984695,0.0,0.0,100
dino_push_l2,mw-push,41005,3,final,-0.020162016201620163,0.0,0.0,100
dino_push_l2,mw-push,41005,4,init,0.943054305430543,0.8,0.0,100
dino_push_l2,mw-push,41005,4,final,-0.073999399939994,0.0,0.0,100
dino_push_l2,mw-push,41005,5,init,0.8083528352835282,0.4,0.0,100
dino_push_l2,mw-push,41005,5,final,-0.3165316531653165,0.0,0.0,100
