budget,n_resets,candidate_brier,candidate_brier_ci95,candidate_calibration_gap,candidate_calibration_gap_ci95,candidate_predicted_success_mean,candidate_predicted_success_mean_ci95,candidate_reward_absolute_error,candidate_reward_absolute_error_ci95,candidate_reward_signed_error,candidate_reward_signed_error_ci95,candidate_success_rate,candidate_success_rate_ci95,selected_brier,selected_brier_ci95,selected_calibration_gap,selected_calibration_gap_ci95,selected_log_loss,selected_log_loss_ci95,selected_mode_step_accuracy,selected_mode_step_accuracy_ci95,selected_predicted_success,selected_predicted_success_ci95,selected_reward_absolute_error,selected_reward_absolute_error_ci95,selected_reward_regret,selected_reward_regret_ci95,selected_reward_signed_error,selected_reward_signed_error_ci95,selected_success,selected_success_ci95,selected_transition_nll,selected_transition_nll_ci95,selection_absolute_error_bias,selection_absolute_error_bias_ci95,successful_candidate_recall,successful_candidate_recall_ci95,closed_loop_success_rate,closed_loop_success_ci95
7,16,0.03863644373639985,"[0.025818426345215487, 0.05557052103829993]",0.008030046257403271,"[-0.0059868860486109315, 0.020955089714034526]",0.0677522684796255,"[0.05258979230501312, 0.08261457624584208]",0.01991071428571429,"[0.01625483630952381, 0.023759920634920637]",0.010982142857142859,"[0.006289558531746032, 0.015153769841269841]",0.05972222222222222,"[0.04285714285714286, 0.07698412698412699]",0.10453119931609883,"[0.05282684537059962, 0.16229529647285337]",0.10727357385129228,"[0.05677057656097406, 0.1653930121650822]",0.7923118101387097,"[0.4162671641962235, 1.205488173858516]",0.94375,"[0.9215277777777777, 0.9628472222222222]",0.2919957960735145,"[0.22856048057265071, 0.3560017717865635]",0.0453125,"[0.028333333333333332, 0.06447916666666667]",0.027951388888888887,"[0.017013020833333333, 0.03927170138888881]",0.0453125,"[0.027986111111111107, 0.06434027777777779]",0.1847222222222222,"[0.10833333333333334, 0.26944444444444443]",0.5450678265125652,"[0.3433004438810991, 0.7801439505986838]",0.025401785714285714,"[0.009677455357142853, 0.042431051587301545]",0.7166666666666667,"[0.5, 0.9]",0.0,"[0.0, 0.0]"
14,16,0.04306120057880605,"[0.03352598003020629, 0.053024502232165656]",-0.006391090066995547,"[-0.02141158023169605, 0.007818866489393398]",0.06960097342506795,"[0.05980447410093922, 0.07901302918343574]",0.01993551587301587,"[0.017604166666666664, 0.022194940476190472]",0.01017361111111111,"[0.006520275297619047, 0.013621031746031746]",0.0759920634920635,"[0.05942460317460317, 0.09275793650793651]",0.08097629127325152,"[0.042654638648236286, 0.12027473682979083]",0.08350660236145208,"[0.047073611014115314, 0.12153287799725097]",0.6490688662532595,"[0.3590523459858668, 0.9535214545461197]",0.9545138888888889,"[0.9381944444444444, 0.9704861111111112]",0.3737843801392299,"[0.3021132011591427, 0.44857341537335005]",0.035555555555555556,"[0.021875, 0.05031336805555548]",0.036597222222222225,"[0.025173611111111112, 0.048263888888888884]",0.035555555555555556,"[0.022118055555555554, 0.0498619791666666]",0.29027777777777775,"[0.21388888888888888, 0.37083333333333335]",0.43752080365122936,"[0.2939971202064174, 0.5760110753073935]",0.01562003968253968,"[0.0020014880952380944, 0.030520895337301582]",0.7270833333333333,"[0.5812369791666667, 0.8583333333333333]",0.4375,"[0.1875, 0.6875]"
28,16,0.0502402440464418,"[0.038240686661257337, 0.0627733741001282]",-0.00834159097202993,"[-0.016420451384295216, -0.00022974744517217414]",0.0747933296628907,"[0.06648032303925877, 0.08469313216894271]",0.020009920634920634,"[0.01714781746031746, 0.023281281001984126]",0.01005952380952381,"[0.00670631820436508, 0.013371775793650793]",0.08313492063492064,"[0.0714781746031746, 0.0951388888888889]",0.09895950024240724,"[0.04716202581239566, 0.1544897585037404]",0.07652600169936806,"[0.014359227784313035, 0.14139362282742213]",0.749024115847396,"[0.3538988736594052, 1.1859805055017543]",0.9548611111111112,"[0.9368055555555556, 0.9725694444444445]",0.47235933503270133,"[0.41342153972438483, 0.5292155853321082]",0.029131944444444443,"[0.01569444444444444, 0.04420138888888889]",0.033437499999999995,"[0.018506076388888883, 0.05059027777777777]",0.026631944444444444,"[0.011943576388888887, 0.04309027777777777]",0.3958333333333333,"[0.3194444444444444, 0.475]",0.3696908770311862,"[0.2002988061799681, 0.5590631887919247]",0.009122023809523806,"[-0.005311259920634923, 0.024537512400793642]",0.753157982064232,"[0.6615758966149591, 0.8266786728896102]",0.75,"[0.5625, 0.9375]"
56,16,0.05568437912820087,"[0.041263279312110254, 0.07018998223015194]",-0.00516114168655458,"[-0.011761854244270861, 0.0010761149133349716]",0.09114342180550891,"[0.08032540058123651, 0.1037503959559732]",0.021064608134920636,"[0.01873820374503968, 0.023443157862103166]",0.010840153769841269,"[0.008443684895833335, 0.0132130611359127]",0.0963045634920635,"[0.08291170634920636, 0.11016927083333328]",0.1040385467649092,"[0.05824893377576272, 0.15117652291346534]",0.10448724711888846,"[0.058584255620837404, 0.15161604086650235]",0.7933515441286207,"[0.4382982291418022, 1.1512840422149735]",0.95,"[0.9350694444444444, 0.9649305555555555]",0.5905983582299996,"[0.5080452308632104, 0.6762468949996501]",0.03510416666666666,"[0.02145833333333333, 0.05041666666666666]",0.04104166666666667,"[0.023888888888888894, 0.06034722222222222]",0.03510416666666666,"[0.021388888888888884, 0.050138888888888886]",0.48611111111111105,"[0.4013888888888889, 0.5722222222222222]",0.4278082153463686,"[0.24970241402385926, 0.6170636721193661]",0.01403955853174603,"[-0.000126643105158731, 0.02932787698412698]",0.811560719625162,"[0.7633909303423616, 0.8576635860329731]",0.875,"[0.6875, 1.0]"
112,16,0.0574224129575161,"[0.04401142185559921, 0.07085432792507539]",-0.004433767840914452,"[-0.008752971319491284, -0.0003838733671708902]",0.10687575596860935,"[0.095667282897976, 0.1186144379765476]",0.021483444940476187,"[0.019288388206845235, 0.02378104073660714]",0.011921812996031745,"[0.0101233646453373, 0.013644283234126984]",0.11130952380952382,"[0.09718470982142857, 0.12568204365079363]",0.1359466765946061,"[0.07485362687097823, 0.20118979731507453]",0.1364016192634305,"[0.07416770717982912, 0.2039638536874174]",1.0342396496482702,"[0.5716759229560123, 1.5185185844570692]",0.9503472222222222,"[0.9350694444444445, 0.965625]",0.7391793970412083,"[0.6298612319720067, 0.8486230568021098]",0.0370486111111111,"[0.021353298611111106, 0.05503559027777769]",0.0353125,"[0.018645833333333334, 0.05420138888888888]",0.0370486111111111,"[0.021422743055555554, 0.054930555555555545]",0.6027777777777777,"[0.4875, 0.7236111111111112]",0.4571680103440504,"[0.2382005449317058, 0.7044197346296551]",0.015565166170634918,"[-0.0003616846478174625, 0.033629410032242055]",0.8448800001508944,"[0.8127578501890128, 0.8760477782367755]",1.0,"[1.0, 1.0]"
