subset,n,mean_true_probability,median_true_probability,top1_coverage,top2_coverage,top3_coverage,median_rank,rank_p90
all_visits,573,0.6557876692451162,0.9989112781222196,0.6561954624781849,0.6596858638743456,0.6596858638743456,1.0,22.0
hard_map_errors,197,0.004351521829120817,1.5723811239243654e-07,0.0,0.01015228426395939,0.01015228426395939,20.0,23.0
true_q_1_2,179,1.3566675922426142e-06,1.5257113042231783e-07,0.0,0.0,0.0,21.0,23.0
true_q_1_2_hard_errors,179,1.3566675922426142e-06,1.5257113042231783e-07,0.0,0.0,0.0,21.0,23.0
