episode,gamma,object_x0,object_y0,goal_x,goal_y,oracle_cost,median_cost,cost_improvement,relative_cost_reduction,oracle_final_distance,median_final_distance,oracle_final_speed,median_final_speed,oracle_min_distance,median_min_distance,oracle_reach,median_reach,oracle_settled_success,median_settled_success,oracle_contact_steps,median_contact_steps,oracle_max_overlap,median_max_overlap
0,2.1235356,-0.044282418,0.08477207,-0.022459464,-0.27686563,0.04632538,0.05374815,0.0074227676,0.13810275,0.038352024,0.04652412,0.05757608,0.059877604,0.026167126,0.020317063,1.0,1.0,1.0,1.0,4.0,4.0,0.030922405,0.031232297
1,1.8062121,0.060828917,-0.07429193,0.53184414,-0.26624352,0.08453742,0.113600485,0.029063068,0.25583577,0.068170235,0.09318286,0.09411456,0.25137222,0.068170235,0.029354911,1.0,1.0,1.0,0.0,5.0,13.0,0.030050755,0.013121814
2,2.899755,0.06598734,0.037365925,0.50132513,0.17515552,0.08062658,0.09824099,0.01761441,0.17929797,0.06700136,0.083244585,0.038345337,0.029244443,0.06700136,0.083244585,1.0,0.0,1.0,1.0,7.0,5.0,0.029073037,0.033697613
3,3.0806415,0.016514536,-0.106502466,-0.45463428,0.0133869015,0.05497923,0.1187558,0.06377657,0.5370396,0.045555778,0.10138455,0.032045733,0.024522927,0.045555778,0.10138455,1.0,0.0,1.0,0.0,7.0,6.0,0.03293377,0.0329796
4,3.4986908,-0.054197278,-0.10727175,0.48234025,-0.1808839,0.018568944,0.18899405,0.1704251,0.9017485,0.013527485,0.16288829,0.031830035,0.02126526,0.013527485,0.16288829,1.0,0.0,1.0,0.0,9.0,9.0,0.029680535,0.027097277
5,1.0387818,-0.025843076,-0.020363817,-0.48700038,0.09529601,0.046508484,0.2601142,0.2136057,0.8211997,0.031111652,0.23902567,0.17543899,0.3300747,0.031111652,0.007485064,1.0,1.0,1.0,0.0,5.0,12.0,0.022907227,0.019874588
6,2.5928266,0.069153324,0.029163312,0.41062245,-0.06508092,0.04344689,0.029715203,-0.013731688,-0.27463377,0.036200885,0.023501297,0.036658246,0.037430093,0.029446626,0.023231974,1.0,1.0,1.0,1.0,5.0,7.0,0.03229118,0.028470814
7,1.2204072,-0.044432115,-0.045415044,-0.37974083,0.3943049,0.08010264,0.31116378,0.23106115,0.7425708,0.060221706,0.28471264,0.18816449,0.28745654,0.055162083,0.05890262,1.0,1.0,1.0,0.0,6.0,8.0,0.027464494,0.029599696
